bangla_speech,sylhet_bangla_speech,zero,few,cot,context
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আমার জীবন আমি তোমারে নিয়া বাঁচনের লাইগা দিমু,আমার জীবন আমি তোমারে নিয়া বাঁচার লাইগা দিম,আমার জীবন আমি তুমারে নিয়া বাঁচার লাইগা দিমু,আমার জীবন আমি তোমারে লইয়া বাঁচার লাগি দিমু
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আমার ভালোবাসা দিয়া হগল জীবন তোমার লগে থাইকতে চাই,আমার ভালবাসা দিয়া সারাজীবন তোমার ফাশে থাহতে চাই,আমার ভালবাসা দিয়া সারাজীবন তুমার ফাশে থাইকা চাই,আমার ভালবাসা দিয়া সারাজীবন তোমার লগে থাকতে চাই
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোমারে ক্যামনে বুঝামু তোমারে কতটা ভালবাসি?,তোমারে কিতা কইরা বুঝামু তোমারে কতটা ভালবাসি?,তুমারে কি অইরা বুঝামু তুমারে কতটা ভালবাসি?,তোমারে কিলা বুঝাইতাম তোমারে কতটা ভালা পাই?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,তোমারে দেইখা আমি থমকি দাঁড়ায় আছিলাম,আফনারে দেইখা আমি দেইখা থ হইয়া দারাইয়া আছিলাম,আপনারে দেইখা আমি দেইখা থমকি দারাইয়া আছিলাম,আফনারে দেখিয়া আমি ভেমটালা লাগিয়া উবাই রইছলাম
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,তুমি বালাই কষ্টে নিজেরে সামলায় নিছো,আফনে খুব কষ্টে নিজেরে সামলে নিছেন,আপনি বালা কষ্টে নিজেরে সামলা নিছেন,আফনে খুব খষ্টে নিজোরে সামলাইয়া নিছইন
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আমার বান্ধুবি কিছু ভাবতে পারে না তোমারে বাদে,আমার বান্ধবী কিতা ভাবতে ফারেনা আফনারে ছাড়া,আমার বান্ধুবি কিছু ভাবতে পারে না তুমারে ছাড়া,আমার বান্ধবি কুনতা ভাবতে পারে না আফনারে ছাড়া
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না তোমার নাম বাদে,আমার বন্ধু কিতা লিখতে ফারেনা আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না তুমার নাম ছাড়া,আমার বন্ধু কুনতা লেখতে পারে না আফনার নাম ছাড়া
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,তোমারে ভালবাসি এই কতাডা কওন বাকি,আফনারে ভালবাসি অই কথা কইরা বাকি,তুমারে ভালবাসি এই কথা ডা কওয়া বাকি,"আফনারে ভালা পাই, এই মাত গুতা খইতা বাকি"
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,আমার বাপের বালাই তাপ লাগছে,আমার আব্বার খুব গরম লাগের,আমার বাফার বালা গরম লাগে,আমার আব্বার খুব গরম লাগের
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,আমার ছোট আফার তাপ লাগছে,আমার ছোট বইনের গরম লাগের,আমার ছোট আফার গরম লাগে,আমার ছুটো বইনের গরম লাগের
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই বাচ্চাডার বালাই ঠাণ্ডা লাগছে,অই ফুয়াটার অনেক ঠাণ্ডা লাগের,এই বাচ্চাডার বালা ঠাণ্ডা লাগে,এই বাচ্চাগুর বাক্কা ঠান্ডা লাগের
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,আমার বন্ধুর বালাই মন খারাপ,আমার বন্ধুর খুব মন খারাফ,আমার বন্ধুর বালা মন খারাপ,আমার বন্ধুর খুব মন খারাফ
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,আম্মা আমার লাইগা নিল শাড়ি কিনা আনছে,আম্মা আমার লাইগা নীল শাড়ি কিনা আনছে,আম্মা আমার লাইগা নীল শাড়ি কিনা আনছে,আম্মায় আমার লাগি নীল শাড়ি কিনিয়া আনছে
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,আমি আমার বন্ধুরে একখান লাল গোলাপ কিনা উপহার দিছি,আমি আমার বন্ধুরে এ্যাকখান লাল গোলাফ কিনা উপহার দিছি,আমি আমার বন্ধুডারে একডা লাল গোলাপ কিনা উপহার দিছি,আমি আমার বন্ধুরে এখটা লাল গোলাপ কিনিয়া উপহার দিছি
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,আমি আমার স্বামীর লগে বিকালে পার্কে ঘুরতে যামু,আমি আমার স্বামীর লগে বেলায় পার্কে ঘুইরতে যামু,আমি আমার স্বামীডার সাতে বেলারে পার্কে ঘুরতে যামু,আমি আমার জামাইর লগে বিকাইলকু পার্কো ঘুরাত যাইমু
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কাউরে ভালবাসা দেওয়ার মজা বেশি লাগে আমার,কাউরে ভালবাসা দেওয়ারেই বেছি আনন্দ লাগে আমার,কাউরে ভালবাসা দেওয়ার মইধ্যেই বেশি আনন্দ লাগে আমার,খেউরে ভালোবাসা দেওয়াতেই বেশি মজা লাগে আমার
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরি আহো, তাইলে ওরে ছাইড়া দাও","যুদি তুমি আমার কাছে ফিরা আহো, তবে হেরে ছাইড়া দাও","যদি তুমি আমার কাছে ফিরা আছ, তাইলে হেরে ছাইড়া দাও","যদি তুমি আমার কাছে ফিরে আয়, তবে তাইরে ছাড়িয়া দেও"
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,হে তোমার লাইগা হগল কিছু করতে পারে,হে তোমার লাইগা হবো কিতা কইরতে পারে,হে তুমার লাইগা সব কিছু করতে পারে,হে তোমার লাগি সব কুন্তা খরতে পারে
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,"তুমি যে মানুষরে ভালবাসবা ওরে যদি না বুঝো, তাইলে তোমার এই প্রেমের কোনো মানে নাই",আফনে যে মানুষরে ভালবাসবেন হেরে যুদি না বুঝতে পারেন অইলে আফনার অই ফ্রেমের কুনো অর্থ নাই,আপনি যে মানুষডারে ভালবাসিবেন হেরে যদি না বুঝতে পারেন তাইলে আপনার এই প্রেমের কোনো অর্থ নাই,"আফনে যে মানুষটারে ভালা পাইবেন, তাইরে যদি না বুঝতে পারেন, তাইলে আফনার এই পেরেমর কুনো অর্থ নাই"
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,তুমি নিজেই অসুখী অইয়া ক্যামনে অন্যরে ভালবাসি সুখী করবা?,আফনে নিজে অসুখী অইয়া কিতা কইরা অন্যরে ভালবাসিয়া সুখী করবেন,আপনি নিজে অসুখী অইয়া ক্যামনে অন্যকে ভালবাসিয়া সুখী করিবেন,আফনে নিজে অসুখী অইয়া কিলা অন্যরে ভালা পাইয়া সুখী খরবেন
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুমি কারো জীবনে সুখ আনা দিবা এই ভাবি তোমার প্রেম করন উচিত,তুমি কারো জীবনে সুখ আনা দিবা অই ভাবিয়া তোমার ফ্রেম করা উচিত,তুমি কারো জীবনে সুখ আনিয়া দিবা এই ভাবিয়া তুমার প্রেম করা উচিত,"তুমি কারো জীবনো সুখ আনা দিবা, এই ভাবিয়া তোমার পেরেম খরা উচিত"
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,তোমার মনের কতা আমারে অহন খুলি কও,আফনার মনের কথা গুলান আমারে আইজ খুইলা কন,আপনার মনের কথা গুলান আমারে আজ খুইলা কন,আফনার মনর খতা গুইন আমারে আজ খুলি খইন
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুমি কদাচ পারবা না অন্য কারো ভালবাসারে ছিনিয়া নিতে,তুমি কুনদিন-ই পারবা না অন্য কারও ভালবাসারে ছিনাইয়া নিতে,তুমি কখনই পারবা না অন্য কারও ভালবাসাডা ছিনিয়া নিতে,তুমি কুনো সময় পারবা না অন্য কারো ভালোবাসারে ছিনিয়া নিতে
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুমি জোর কইরা অন্যের ভালা লাগনের মানুষ অইতে পারবা না,তুমি জোর কইরা অন্যর ভালা লাগার মানুষ অইতে পারবা না,তুমি জোর কইরা অন্যের ভালা লাগার মানুষ অইতে পারবা না,তুমি জোর খরিয়া অন্যর ভালা লাগার মানুষ অইতে পারবা না
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগামীকাল সক্কাল বেলা ওইগোরে দেইখতে পাবা,আগামীকাল সকালে হেরা দেইখতে পাবেন,আগামীকাল ভোরবেলা তাদেরডারে দেইখতে পাইবেন,আগামিকাইল সখালবেলা তাদের দেখতে পাইবেন
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তোমার কোন কতাতেই কোন নিশ্চয়তা নাই,তোমার কুন কথাতেই কুনো নিশ্চিতা নাই,তুমার কোন কথাডাতেই কোনও নিশ্চিতা নাই,তোমার কুনো মাতেই কুনো নিশ্চয়তা নাই
