bangla_speech,sylhet_bangla_speech,context,zero,few,COT
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগর ভালা-পাওয়া খেউরে দিওয়া উচিত নায়।,আবেগ'র ভালাবাসা কারোরে দেওয়া উচিত না।,আবেগর ভালাবাসা কাউরে দিতো উচিত নায়।,আবোত্তের বালা-ফাওয়া কুনুজনে দেওন উছিদ না।
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,এখদিন বিবেকর কাছে আবেগর ভালা-পাওয়া হারি যাইবো।,এক দিন বিবেক'র লগে আবেগ'র ভালাবাসা হার মানি যাইবো।,একদিন বিবেকর কাছে আবেগর ভালাবাসা হারি যাইবো।,এক দিন বিবেকের কাছে আবোত্তের বালা-ফাওয়া আটি যাইবো।
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আমার মনর ভালা-পাওয়া সারাজীবন তুমার লাগি রই যাইবো।,আমার মনের ভালাবাসা চিড়দিন তুমার লাগি থাকি যাইবো।,মোর মনের ভালাবাসা চিরদিন তুমার লাগি থাকি যাইবো।,মু'র মনের বালা-ফাওয়া চিরদিন তুমার লাগি রইয়া যাইবো।
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনো একলা একলা পথ আটা খুব কঠিন।,জিন্দেগীত একা একা বাট (পথ) চলা খুব কঠিন।,জিন্দেগিত একা একা ফথ খলা অখল খঠিন।,জিন্দেগিত একা একা আটিতোন খুব মুশকিল।
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আমার জীবন মুই তুমারে লইয়া বাঁচিয়া থাকার লাগি দিমু।,আমার জিন্দেগি আমি তুমারে লইয়া বাঁচনের লাগি দিমু।,মোর জিন্দেগি মুই তুমারে লইয়া বাঁচবার লাগি দিমু।,মু'র জিন্দেগি আমি তুমারে নিয়া বাঁচতোন দিমু।
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আমার ভালা-পাওয়া দিয়া সারাজীবন তুমার কান্দাত থাকতে চাই।,আমার ভালাবাসা দিয়া হকল জিন্দেগি তুমার লগে (কাছে) থাকাত চাই।,মোর ভালাবাসা দিয়া সারাজিন্দেগি তুমার ফাশো থাকতো চাই।,মু'র বালা-ফাওয়া দিয়া সারা জিন্দেগি তুমার লগে (পাশে) থাকতাম চাই।
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তুমারে কিলা বুঝাইতাম তুমারে কিত্তা ভালাপাই?,"তুমারে কিতা করি বুঝাইমু, তুমারে কতো ভালা পাই?",তুমারে কিতা খরি বুঝাইমু তুমারে খতটা ভালা ফাই?,তুমারে কিলা করি বুঝাইমু যে কতো বালা ফাই?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আফনারে দেকিয়া মুই ভেমটালা লাগিয়া উবাই রইছলাম।,আপনারে দেখি আমি থমকি খাড়াই গেছলাম।,আপনরে দেখিয়ু মুই থমকি দাঁড়াইয়া আছিলাম।,আপ্নারে দেখি আমি দেখি থমকি ঠাটা রইছিলাম।
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আফনে খুব খষ্টে নিজোরে সামলাইয়া নিছইন।,আপনে খুব কষ্টে নিজরে সামলাইছইন।,আপনে অখল খষ্টো নিজরে সামলাইয়া নিছইন।,আপনে খুব কষ্ট করি নিজেরে সামলাইয়া নিছইন।
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আমার বান্ধবি কুনতাও ভাবতে ফারে নায় আফনারে ছাড়া।,আমার বান্ধবিয়ে কিচ্ছু ভাবত পারইন না আপনারে ছাড়া।,মোর দুস্তাইন কুনতাউ ভাবতো ফারইন না আপনে ছাড়া।,মু'র বান্ধুবি কিচ্ছু ভাবতোন পারইন না আপ্নারে ছাড়া।
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আমার বান্ধব কুনতাও লেখতে ফারে নায় আফনার নাম ছাড়া।,আমার দোস্তে কিচ্ছু লেখত পারইন না আপনার নাম ছাড়া।,মোর দুস্ত কুনতাউ লেখতো ফারইন না আপোনার নাম ছাড়া।,মু'র বন্ধু কিচ্ছু লেখতোন পারইন না আপ্নার নাম ছাড়া।
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আফনারে ভালাপাই অউ মাতটা কইতাম বাকি।,"আপনারে ভালা পাই, ই কতাটা কইতে বাকি।","আপনরে ভালা ফাই, অউ খতাউ খইতো বাকি।","আপ্নারে বালা ফাই, ই কতা-টা কওন বাকি।"
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,আমার আব্বার খুব গরম লাগের।,আমার আব্বার খুব গরম লাগের।,মোর আব্বার অখল গরম লাগের।,মু'র আব্বার খুব গরম লাগছে।
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,আমার ছোট বইনর গরম লাগের।,আমার ছোড বইন'র গরম লাগের।,মোর ছোট বইনর গরম লাগের।,মু'র ছুট বইনোর গরম লাগছে।
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,অউ হুরু ফুয়ার খুব ঠান্ডা লাগের।,ই ছোড বুড়া'র বউত ঠাণ্ডা লাগের।,অউ আফালর অখল ঠাণ্ডা লাগের।,ই ছুট ফুঁয়া-টার খুব ঠাণ্ডা লাগছে।
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,আমার বান্ধবর খুব মন খারাফ।,আমার দোস্ত'র খুব মন খারাপ।,মোর দুস্তর অখল মন খারাপ।,মু'র বন্ধুর খুব মন বেজার।
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,আম্মায় আমার লাগি নীল শাড়ি কিনিয়া আনছইন।,আম্মায় আমার লাগি নিলা শাড়ী কিনি আনছইন।,আম্মায় মোর লাগি নীল শাড়ি খিনিয়া আনছইন।,আম্মায় মু'র লাগি নীল শাড়ি কিনি আইছইন।
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,মুই আমার বান্ধবরে এখটা লাল গোলাপ কিনিয়া উপহার দিছি।,আমি আমার দোস্ত'রে একখান লাল গোলাপ কিনি উপহার দিছি।,মুই মোর দুস্তরে এখটা লাল গোলাপ খিনিয়া উপার দিছি।,আমি মু'র বন্ধুরে এক্কান লাল গোলাপ কিনি উফফার দিছি।
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,মুই আমার জামাইর লগে বিহানীত পার্কো পাখানিত যাইমু।,আমি আমার জামাই'র লগে বিকালো পারকো বারাইতে যাইমু।,মুই মোর জামাইর লগে বিকালো পার্খো ঘুরতো যাইমু।,আমি মু'র জামাইর লগে বিয়াইল (বিকালে) পার্কো ঘুরতে যাইমু।
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,খেউরে ভালা-পাওয়া দিওয়াতেউ আমার বেশি মজা লাগের।,কারোরে ভালাবাসা দেওয়ায়ো আমার বেশি খুশি লাগের।,কাউরে ভালাবাসা দিতোই বেশি আনন্দ লাগের মোর।,কুনুজনে বালা-ফাওয়া দেওাত-ই মু'র বেশি আন্দ (আনন্দ) লাগে।
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কান্দাত ফিরি আয়ো, তাইলে তারে ছারি দেউ।","যদি তুমি আমার কাছেউ ফিরি আও, তইলে তারে ছাড়ি দিও।","যদি তুমি মোর কাছে ফিরি আও, তইলে তারে ছাড়ি দেও।","যদি তুমি মু'র কাছে ফুরি আইও, তবে তারে ছাড়ি দেও।"
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,হে তুমার লাগি হকলতা খরতে ফারে।,হে (তাইনে) তুমার লাগি অকল (হকল) কিতা করত পারইন।,তায় তুমার লাগি সব কুনতা খরত ফারে।,তে তুমার লাগি হকলতা (সব কিছু) করত পারইন।
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,"আফনে যে মানুষটারে ভালা পাইবা, তারে যদি নয় বুজইন, তাইলে আফনার অউ পেরেমর কুনো অরথ নায়।","আপনে যে মানুসটারে ভালা পাইবায়, তারারে যদি না বুঝত পারইন, তইলে আপনার ই পিরিত'র কোনো মানে নাই।","আপনে যে মানুসটারে ভালা ফাইবায় তারে যদি না বুঝতো ফারইন, তইলে আপোনার অউ ফেমর কুনু অর্থ নায়।","আপনে যে মানুশ-টারে বালা ফাইবা, তারে যদি না বুঝো তইলে আপ্নার ই পিরিতর কুনু মানে নাই।"
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আফনে নিজে বেজার অইয়া কিলা আরেকজনরে ভালা ফাই সুখী খরবা?,আপনে নিজে অসুখী অইয়া কিতারে অন্যরে ভালাবাসি সুখী করবায়?,আপনে নিজে অসুখী অইয়া কিতা খরি অইন্যরে ভালাবাইসা সুখী খরবায়?,আপনে নিজে অ-খুশি অইয়া কিলা করি অন্যরে বালা ফাইয়া খুশি করবা?
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুমি খেউর জীবনো সুখ আনি দিবা ইতা ভাবিয়া তুমার পেরেম খরা উচিত।,"তুমি কারো জিন্দেগীত সুখ আনি দিবা, ই ভাবি তুমার পিরিত করা উচিত।","তুমি কারুর জিন্দেগিত সুখ আনি দিবা, অউ ভাবিয়া তুমার ফেম খরা উচিত।","তুমি কুনুজোনের জিন্দেগিত খুশি আইনা দিবা, ই কতা ভাবি তুমার পিরিত করা উছিদ।"
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আফনার মনর মাতগুইন আমারে আইজ খুলিয়া খওকা।,আপনার মনের কতা কটা আমারে আজ খুলি কওকাই।,আপনার মনের খতা অখল মোরে আইজ খুলিয়া খইন।,আপ্নার মনের কতা-গুলা মু'রে আইজ খুলি কউকা।
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুমি কুনো সময়উ ফারতা নায় আরেকজনর ভালা-পাওয়ারে ছিনিয়া নিতাম।,তুমি কোনোদিনও পারতায় না অন্য কারো ভালাবাসা ছিনাই লইত।,তুমি কুনদিনউ ফারবায় না অইন্য কারুর ভালাবাসারে সিনাইয়া নিতো।,তুমি কুনু দিন-ই পারবায় না অন্য কুনু জনর বালা-ফাওয়া কাড়ি নিতে।
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুমি জোর দিয়া আরেকজনর ভালা লাগের মানুষ অইতাম ফারতা নায়।,তুমি জোর করি অন্য'র ভালা লাগার মানুস অইতায় না।,তুমি জোর খরি অইন্যর ভালা লাগার মানুস অইতো ফারবায় না।,তুমি জোর করি অন্যর বালা লাগার মানুশ অইতোন পারবা না।
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,কাইল বিয়ানে তাতরার দেখতে পাইবা।,আইলকা (আগামিকাল) আঁতাল'র সমায় তারারারে দেখতায়।,খাইলকু বেয়ানবেলা তারারারে দেখতো ফাইবায়।,আগাইল ফজরো (আগামীকাল সকালে) তারারে দেখতোন ফাইবা।
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তুমার কুনো মাতেউ কুনো নিচয়তা নায়।,তুমার কোনো কতাও কোনো নিচ্চয়তা নাই।,তুমার কুন খতাউ কুনু নিচ্চয়তা নায়।,তুমার কুনু কতা-ত-ই কুনু নিশ্চয়তা নাই।
আমার অনেক ভালো লাগে কালো ওই চোখ দুটো তোমার,আমার অনেক ভালা লাগে কালা ওই চোউখ দুইটা তোমার,,,,
তোমাকে একটি গোলাপ ফুল কিনে দিবো,তোমাকে একটা গোলাপ ফুল কিনিয়া দিমু,,,,
আমার এই মন তোমাকে দিলাম,আমার এই বিতর তোমারে দিলাইলাম,,,,
তোমার হাজার কথার মাঝে তোমার মনের কথা লুকিয়ে ছিল,তোমার হাজার মাতর মাঝে তোমার মনের মাত লুকাইয়া ছিল,,,,
একটা মানুষের সব কথা একদিনে মুখে বলে দেওয়া যায়না,একটা মানুষের সব মাত একদিনে মুখে বলে দেওয়া যায় না,,,,
আমার হাজার কথার মাঝে ওই একটা কথা তোমাকে বুঝে নিতে হবে,আমার হাজার মাতর মাঝে ওই একটা মাত তোমারে বুজে নিতে অইবো,,,,
আমি যতদিন বেঁছে থাকি আপনাকে মনে রাখবো,মুই যতদিন বাছিয়া থাকি আফনারে বিতর রাখমু,,,,
আমার যত কষ্ট হোক তোমাকে নিয়ে আমি জীবন সাজাবোই,আমার যত কষ্ঠ হোক তোমারে নিয়া আমি জীবন সাজাইমু,,,,
তোমার পড়াশোনা করে কি হবে যদি তুমি যাকে ভালোবাসো তাকেই না পাও,তোমার ফড়াশোনা করিয়া কিতা অইবো যদি তুমি যারে ভালোফাও তারেই না ফাও,,,,
চাঁদের মিষ্টি আলো দেখতে আমার খুব ভালো লাগে,চাঁদের মিষ্টি ফর্সা দেখতে আমার খুব ভালা লাগে,,,,
আমাদের ঘরের প্রতিটি রুম ফুল দিয়ে সাজিয়ে রেখেছি,আমাদের ঘরের প্রতিটা রুম ফুল দিয়া সাজিয়া রাখছি,,,,
মাছের বাজারে সবাই এসে বড় মাছটি দেখার জন্য ভিড় জমালো,মাছের বাজারে হকল আইয়া বড় মাছটক দেইখ্খার লাগি ভিড় জমাইলো,,,,
আমার বিয়ে করার জন্য আরেকটা দিন এগিয়েছে,আমার বিয়া করার লাগি আরেকদিন আগাইছে,,,,
দুজনে মিলে দুরে কোথাও ঘুরে আসতে পারি,দুজনে মিলিয়া দুরে কোনকানো ফাকাইয়া আইতে ফারি,,,,
আকাশের নীলে হারিয়ে যেতে চাই তোমায় নিয়ে,আকাশর নীলে কোয়াইয়া যাইতে চাই তোমায় নিয়া,,,,
আপনার জন্য মনে আমার অফুরন্ত ভালবাসা,আফনার লাগি বিতরে আমার অফুরন্ত ভালোবাসা,,,,
আমি সারা জীবন আপনার ভালবাসা পেতে চাই,মুই সারা জীবন আফনার ভালোবাসা ফাইতে চাই,,,,
আমি এবং আমার ছোট বোন একসাথে সাঁতার কাটি,মুই এবং আমার ছোট বোন একসাথে হাতার কাটি,,,,
তোমাকে নিয়ে সুখের পৃথিবী সাজাতে চাই,তোমারে নিয়া সুখের পৃথিবী সাজাতে চাই,,,,
আজ সিলেটে বৃষ্টি হবে,আইজ সিলেট বৃষ্টি অইবো,,,,
তোমার মিথ্যা ভালবাসা একদিন হেরে যাবে,তোমার মিথ্যা ভালোবাসা একদিন হারিয়া যাইবো,,,,
আমার সত্যের ভালবাসা কোনদিনও হারবে না,আমার হাচা ভালো ফাওয়া কোনোদিনও কোয়াইবে না,,,,
এই গানটি আমার খুব ভালো লাগে,এই গানটি আমার খুব ভালা লাগে,,,,
তোমাকে অসম্ভব সুন্দরী লাগে,তোমারে অসম্ভব সুন্দরী লগের,,,,
আপনার কি এখনও আপনার ভালোবাসার মানুষটার কথা মনে পড়ে,আফনার কিতা এখনও আফনার ভালোফাওয়ার মানুষটার মাত মনে পড়ে,,,,
তোমার সাথে দেখা হলেই পুরাতন ইতিহাস মনে পড়ে যায়,তোমার লগে দেখা হলেই আগর ইতিহাস মনে পড়ে যায়,,,,
এই ছবির নীল আকাশ অনেক সুন্দর,এই ছবির নীল আকাশ অনেক সুন্দর,,,,
তুমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবে আমি আর নেই,তুমি এক হাইনজা অফিসে থাকি বাসায় ফিরে দেখবা মুই আর নাই,,,,
তোমার কন্যা তোমাকে অনেক ভালবাসে,তোমার কইন্না তোমারে অনেক ভালাফায়,,,,
আমার মাঝে মাঝে চিৎকার করে কাঁদতে ইচ্ছে করে,আমার মাঝে মাঝে চিৎকার করিয়া কান্দিতে জানে কয়,,,,
তুমি চলে যাওয়ার পর আমার জীবন থেমে গেছে,তুমি চলে যাওয়ার পর আমার জীবন থামিয়া গেজে,,,,
আমার ছোট বোন কেমন যেন শান্ত হয়ে গেছে,আমার ছোট বোইন কেমনে যানি নিরাই অই গেজে,,,,
বাবা মার আদর ভালোবাসা ছাড়া আমি বড় হয়েছি,বাপ মার মায়া ভালোবাসা ছাড়া মুই বড় অইগেজি,,,,
তুমি সত্যিই খুব কঠিন সময় পার করছ,তুমি হাচাও খুব কঠিন সময় ফার করছো,,,,
বাবা হয়ে মায়ের দায়িত্ব পালন করা করা খুব কঠিন,বাফ অইয়া মাই এর দায়িত্ব পালন করা খুব কঠিন,,,,
একটি শিশুকে একমাত্র তার মায়ের কোলেই মানায়,একটা শিশুকে একমাত্র তার মাইয়ের কোলেই মানায়,,,,
আমার কোলে এসে শিশুটি তার মাকে খোঁজে মনে হয়,আমার কোলে আইয়া শিশুটারে তার মাই রে খোজে মনে হয়,,,,
আমি যে মা তাই আমি আমার বাচ্চার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,আমি যে মাই তাইন মুই আমার বাচ্চার মুখের দিকে তাকিয়া অনেক কিছু বুঝতে পারইন,,,,
এই কঠিন বাস্তবের সাথে তোমাকে মানিয়ে নিয়ে চলতে হবে,এই কঠিন বাস্তবের লগে তোমাকে মানিয়া নিয়া চলতে অইবো,,,,
মেয়েটি একটি ভালো চাকরি করে,ফুড়িটা একটা ভালো চাকরি করে,,,,
এই মাসে ছেলে তার পরিবার নিয়ে ঘুরতে যাওয়ার কথা,এই মাসো ফুয়া তার পরিবার নিয়া ফাকানিত যাওয়ার কথা,,,,
আমার পরিবার আজকে বিকালে তোমার পরিবারের সাথে কথা বলবে,আমার পরিবার আইজকে বিকালে তোমার পরিবারের লগে মাতবে,,,,
আমাদের দুজনের বিয়ে হওয়ার কথা চলছে,আমাদের দুজনের বিয়া অওয়ার মাত চলতেছে,,,,
মেয়েটি এই ছেলেকে বিয়ে করতে রাজি হচ্ছে না,ফুড়িটা এই ফুয়ারে বিয়া করতে রাজি অর না,,,,
আমার স্বামী আমাদেরকে নিয়ে রাতের বেলা ঘুরতে বের হবে,আমার স্বামী আমাদেরকে নিয়া রাইতর বেলা ফাকানিত বের অইবা,,,,
আমার পছন্দ হয় এমন ছেলে আমার বাবা মায়ের পছন্দ হয় না,আমার ফছন্দ হয় এমন ফুয়া আমার বাফ মাইয়ের ফছন্দ হয় না,,,,
তোমার মত মানুষেরা কখনো ঠিক হবে না,তোমার মত মানুষেরা কখনো ঠিক হবে না,,,,
ছেলেটি তার পরিবারের পছন্দে বিয়ে করে ফেলে,ফুয়াটা তার ফরিবাবের পছন্দে বিয়া করি ফালাইছে,,,,
আমার ভাই মেয়েটির সাথে গতকাল যোগাযোগ করে,আমার ভাই ফুড়িটার লগে গতকাল যোগাযোগ করে,,,,
ছেলে কোন ধরনের মামলা চায় না,ফুয়া কোন ধরনের মামলা চায় না,,,,
সে বিবাহিত তাই মামলা করতে চাচ্ছে না,হে বিয়াতি তাই মামলা করতে চার না,,,,
এই বিষয়টা জানাজানি হলে মহিলাটির সংসার টিকবে না,এই বিষয়টা জানাজানি অইলে বেডিনতর সংসার টিকতো না,,,,
আমার বন্ধু মেয়েদের সাথে সারা রাত জেগে কথা বলে,আমার বন্ধু ফুড়িন্তর লগে সারা হারা রাইত জাগিয়া মাত মাতইন,,,,
আমার কাবিনের টাকা তোমাকে প্রতি মাসে মাসে দিতে হবে,আমার কাবিনের টেখা তোমাকে পতি মাসো মাসো দিতে অইবো,,,,
আমার বড় ভাই সাত মাস প্রেম করে একজনকে বিয়ে করেছে,আমার বড় ভাই সাত মাস প্রেম করিয়া একজনকে বিয়া করছে,,,,
আমি ক্লাসের সব ছেলেদের সাথেই মিশতাম,আমি ক্লাসের হকল ফুয়াদের সাথেই মিসতাম,,,,
তোমার অনেক ভুল ছিল,তোমার অনেক ভুল আছিল,,,,
এই তিন বছরের শিশুটির দোষ কোথায় ?,এই তিন বছরের শিশুটির দোষ কোয়াই?,,,,
তোমাকে বলেছিলাম বিয়েটা করে ফেলো,তোমাকে কইলাম বিয়াটা করি ফালাইতা,,,,
শুধু তোমার ভালোর জন্য বিয়েটা করে ফেলতে বললাম,শুধু তোমার ভালার লাগি বিয়াটা করিয়া ফালাইতা কইলাম,,,,
তোমার ভালোর জন্যই আমি তোমাকে ছেড়ে দূরে চলে আসছি,তোমার ভালার লাগি মুই তোমারে ছাড়িয়া দুরই চলিয়া আইসি,,,,
আমি আর তুমি একসাথে নেই আমি এটা মানতে পারছি না,আমি আর তুমি একলগে নাই আমি এইটা মানতে ফারছি না,,,,
আমার আর আপনার স্বপ্নটা যে কবে পূরণ হবে,আমার আর আফনের স্বপ্নটা যে কুনদিন পূরণ অইতো,,,,
তোমার পরিবার আমার বাবার সাথে কথা বলতে চায়,তোমার ফরিবারের আমার বাফর লগে মাত মাততে চায়,,,,
তোমার বিয়ে হবে শুনে আমরা খুব খুশি,তোমার বিয়া হবে আমরা খুব কুশি,,,,
আমার বোন তার বন্ধুর সাথে ঘুরতে যেতে চায়,আমার বোইনর তার বন্ধুর লগে ফাকানিত যাইতে চায়,,,,
আমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,আমার বন্ধুরা হাচাও ভালা মনের মানুষ,,,,
আমার বন্ধুরা সবাই খুব মেধাবী,আমার বন্ধুরা হকল খুব মেধাবী,,,,
আমার বন্ধুদের সাথে ঘুরতে খুব ভালো লাগে,আমার বন্ধুদের লগে ফাকানিত খুব ভালা লাগে,,,,
তাদের পরিবারে কোন ঝগড়া হয় না,তাদের ফরিবার কোনো ঝগরা অয় না,,,,
আমার ভাই বোনের খুব ভালো ছবি আঁকে,আমার ভাই বোইনর খুব বালা ছবি আকইন,,,,
আমার গ্রামের মানুষদের মধ্যে কোন রকম ঝগড়া নেই,আমার গ্রামর মানুষদের মধ্যে কোনো রকম ঝগড়া নাই,,,,
আপনি খুব সুন্দর করে কথা বলেন,আফনে খুব সুন্দর করিয়া মাত মাতইন,,,,
তোমার সুন্দর সুন্দর ছবিগুলো দেখে খুব আনন্দ পেয়েছি,তোমার সুন্দর সু্ন্দর ছবিগুলি দেখিয়া খুব আনন্দ পাইছি,,,,
বিয়ের পর অনেক পাতলা মেয়ে মোটা হয়ে যায়,বিয়ার পর অনেক হোকনা ফড়ি মোটা অই যায়,,,,
মেয়েরা বিয়ে করার জন্য ভদ্র ছেলে খুঁজে,ফড়িন্তর বিয়া করার লাগি ভদ্র ফুয়া তোকাইন,,,,
আমার খুব ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই,আমার খুব ডর লাগের কোনদিন মুই নি কিডন্যাপ অইনি যাই,,,,
আজ সিঙ্গেল বলে ঘুরতে যেতে পারি না,আইজ সিঙ্গেল বলিয়া ফাকানিত যাইতে ফারি না,,,,
বাস্তব জীবনে বিয়ের পরই ঝগড়া শুরু হয়,বাস্তব জীবনে বিয়ার পরইঝগরা শুরু অয়,,,,
আজ গরিব বলে কেউ আমাকে ভালবাসে না,আইজ গরিব বলিয়া কেউ আমারে ভালাফায় না,,,,
"যতদিন এই পৃথিবীতে থাকব , তোমাকে মনে রাখব","যতদিন এই দুনিয়াতে থাকমো, তোমারে বিতর রাখমো",,,,
একমাত্র মেয়েরাই পারে সংসার গুছিয়ে রাখতে,একমাত্র ফড়িন্তরা ফারে সংসার গুঁজিতে রাকতে,,,,
ছেলেদের সহজ সরল মনটা নিয়ে মেয়েরা ফুটবল খেলে,ফুয়ান্তর সহজ সরল মনটা নিয়া ফুড়িন্তে ফুটবল কেলইন,,,,
ছেলেটি গাড়ির নিচে পরে মারা যায়,ফুয়াটা গাড়ির নিছে ফরিয়া মারা গেছে,,,,
একবার তোমার হাঁট ধরলে আর কোনদিনও ছাড়বনা,একবার তোমার হাত ধরলে আর কোনোদিনও ছাড়তাম না,,,,
তুমি ছাড়া আমার জীবনটা অন্ধকার,তুমি চাড়া আমার জীবনটা আইন্দার,,,,
তোমার চুল পরার এই সমস্যা নিয়ে ডাক্তারের কাছে যেতে হবে,তোমার চুল পরার এই সমস্যা নিয়া ডাক্তারের কাছে যাইতে অইবো,,,,
ভালো মানুষ এই পৃথিবীতে বেশি দিন বাঁচে না,ভালা মানুষ এই দুনিয়াত বেশি দিন বাচে না,,,,
গ্রামের বাড়ির এই মেয়েটাকে খুব ভালো লেগেছিল,গ্রামের বাড়ির এই ফুড়িটারে খুব ভালা লাগচিল,,,,
ছেলেটি ছুটির দিনেও কলেজে যায়,ফুয়াটা ছুটির দিনও কলেজে যায়,,,,
আমার বাংলা সিনেমা দেখতে ভালো লাগে,আমার বাংলা সিনেমা দেকতে ভালা লাগে,,,,
তোমাকে আমি ধন্যবাদ জানাতে চাই,তোমারে মুই ধন্যবাদ জানাতে চাই,,,,
তোমার ছোট ভাইয়ের জন্মদিন কবে?,তোমাকে ছোট ভাইয়র জন্মদিন খবে?,,,,
তুমি কি আমাকে একটি ছবি তুলে দিতে পারবে,তুমি কিতা আমারে একটা ছবি তুলিয়া দিতা পারবায় নি,,,,
তোমার সাথে আমার আম্মু কথা বলতে চায়,তোমার লহে আমার আম্মা মাত তে চায়,,,,
তোমার কাছে আমি একটি পরামর্শ চাই,তোমার কাছে আমি একটা পরামর্শ চাইরাম,,,,
আপনি কি আমাকে একটি গান গেয়ে শুনাতে পারবেন ?,আফনে কিতা আমারে একটা গান হুনাতে পারবানি?,,,,
তুমি কি তোমার ভুল বুঝতে পেরেছ ?,তুমি কিতা তোমার ভুল বুঝতর ফারছোনি?,,,,
তুমি কি আমার জন্য একটি গান লিখে দিতে পারবে?,তুমি কিতা আমার লাগি একটা গান লিখিয়া দিতা ফারবানি?,,,,
আমার প্রতিদিন খেলাধুলা করতে ভালো লাগে,আমার প্রতিদিন খেলাধুলা করতে ভালা লাগে,,,,
