bangla_speech,sylhet_bangla_speech,zero,few,cot,context,which one is best
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,একদিন বিবেকর কাছে আবেগর ভালবাসা হাইরা যাইব।,এখদিন বিবেকর কাছে আবেগর ভালবাসা হাইরা যাইব,একদিন বিবেকের কাছে আবেগের ভালবাসা হাইরা যাইব।,এখদিন বিবেকর কান্দাত আবেগর ভালা পাওয়া হারি যাইবো।,Context
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আমার মনর ভালবাসা চিরদিন তোঁয়ার লাই থাইক্কা যাইব।,আমার মনর ভালবাসা চিরদিন তোমার লাই থাইক্কা যাইব,আমার মনের ভালবাসা চিরদিন তোমার লাই থাকি যাইব।,আমার মনর ভালা পাওয়া চিরদিন তুমার লাগি থাকি যাইবো।,Context
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনত একা একা পথ চলা অনেক কঠিন।,জীবনে একা একা পথ চলা বড় কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন।,জীবনো একলা একলা পত চলা বাক্কা কঠিন।,Context
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আমার জীবন আমি তোঁয়ারে লইয়া বাঁচার লাই দিম।,আমার জীবন আমি তোমারে নিয়া বাঁচার লাই দিম,আমার জীবন আমি তোমারে নিয়া বাঁচার লাই দিম।,আমার জীবন মুই তুমারে লইয়া বাঁচার লাগি দিতাম।,Context
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আমার ভালবাসা দিয়া সারাজীবন তোঁয়ার পাশে থাকতে চাই।,আমার ভালবাসা দিয়া সারাজীবন তোমার পাশে থাকত চাই,আমার ভালবাসা দিয়া সারাজীবন তোমার পাশে থাকতে চাই।,আমার ভালা পাওয়া দিয়া সারাজীবন তুমার পাশে থাকতাম চাই।,Context
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোঁয়ারে কিলা কইরা বুঝামু তোঁয়ারে কত ভালবাসি?,তোমারে কিতা খইরা বুঝামু তোমারে কতটুক ভালবাসি?,তোমারে কি কইরা বুঝামু তোমারে কতটা ভালবাসি?,তুমারে কিলা বুঝাইতাম তুমারে কিত্তা ভালা পাই নি?,Context
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আফনারে দেখি আমি দেখি থমকি দাঁড়াইয়া আছিলাম।,আফনারে দেখিয়া আমি দেখিয়া থমকিয়া দাঁড়াইয়া আছিলাম,আপনারে দেখিয়া আমি দেখিয়া থমকিয়া দাঁড়িয়া আছিলাম।,আফনারে দেকিয়া মুই দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম।,Context
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আফনে খুব কষ্টত নিজরে সামলাই নিছেন।,আফনে বড় কষ্টে নিজরে শামলাই নিছেন,আপনে খুব কষ্টে নিজেরে সামলাইছেন।,আফনে বাক্কা খষ্টে নিজোরে সামলাইয়া নিছইন।,Context
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আমার বান্ধুবি কিছু ভাবতে পারে না আফনারে ছাড়া।,আমার বান্ধবী কুনতা ভাবত ফারে না আফনারে ছাড়া,আমার বান্ধুবি কিছু ভাবতে পারে না আপনারে ছাড়া।,আমার বান্ধবি কুনতা ভাবতা পারে না আফনারে ছাড়া।,Context
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আফনার নাম ছাড়া।,আমার বন্ধু কুনতা লিখত ফারে না আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া।,আমার বন্ধু কুনতা লেখতা পারে না আফনার নাম ছাড়া।,Context
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আফনারে ভালবাসি এই কথাটি কওয়া বাকি।,আফনারে ভালবাসি এই কথাটা কওয়া বাকি,আপনারে ভালবাসি এই কথাডা কওয়া বাকি।,আফনারে ভালা পাই অউ কথাটা কওয়া বাকি।,Context
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,আমার আব্বুর খুব গরম লাগতাছে।,আমার আব্বুর বড় গরম লাগতাছে,আমার আব্বুর খুব গরম লাগতেছে।,আমার আব্বার বাক্কা গরমো লাগের।,Context
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,আমার ছোট বইনর গরম লাগতাছে।,আমার খুদা বইনর গরম লাগতাছে,আমার ছোট বইনের গরম লাগতেছে।,আমার ছুটো বইনর গরমো লাগের।,Context
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই শিশুটার অনেক ঠাণ্ডা লাগতাছে।,এই শিশুটার বড় ঠাণ্ডা লাগতাছে,এই বাচ্চাডার অনেক ঠাণ্ডা লাগতেছে।,অউ বাইচ্চাটার বাক্কা ঠান্ডা লাগের।,Context
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,আমার বন্ধুর খুব মন খারাপ।,আমার বন্ধুর বড় মন খারাপ,আমার বন্ধুর খুব মন খারাপ।,আমার বন্ধুর বাক্কা মন খারাফ।,Context
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,আম্মু আমার লাই নীল শাড়ি কিনি আনছে।,আম্মু আমার লাই নীল শাড়ি কিনিয়া আনছে,আম্মু আমার লাই নীল শাড়ি কিনিয়া আনছে।,আম্মায় মোর লাগি নীল শাড়ি কিনিয়া আনছইন।,Context
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,আমি আমার বন্ধুরে একটা লাল গোলাপ কিনি উপহার দিছি।,আমি আমার বন্ধুরে এখটা লাল গোলাপ কিনিয়া উপহার দিছি,আমি আমার বন্ধুরে একটা লাল গোলাপ কিনিয়া উপহার দিছি।,মুই আমার বন্ধুরে এখটা লাল গোলাপ কিনিয়া উপহার দিছি।,Context
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,আমি আমার শামীর লগে বিকালত পার্কত ঘুরতে যাম।,আমি আমার শাওর লগে বিকালে পার্কে ঘুইরত যাম,আমি আমার স্বামীর লগে বিকালে পার্কে ঘুইরতে যাম।,মুই আমার জামাইর লগে বিকালত পার্কো পাখানিত যাইবো।,Context
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কারুকে ভালবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার।,কারে ভালবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কারোরে ভালবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার।,খেউরে ভালা পাওয়া দিয়াতেই বেশি মজা লাগে আমার।,Context
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুঁই আমার কাছে ফিরা আই, তাইলে তারে ছাইড়া দে।","যদি তুমি আমার কাছে ফিরা আইস, তই তারে ছাইড়া দে","যদি তুই আমার কাছে ফিরা আইস, তইলে তারে ছাইড়া দে।","যদি তুমি মোর কান্দাত ফিরি আও, তাইলে তারে ছাড়ি দেউকা।",Context
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,সে তোঁয়ার লাই সবকিছু করতে পারে।,সে তোমার লাই সব কুনতা খরত ফারে,সে তোমার লাই সব কিছু করতে পারে।,হে তুমার লাগি হখল কুনতা খরতা পারে।,Context
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,আফনে যে মানুষটারে ভালবাসবেন তারে যদি না বুঝতে পারেন তাইলে আফনার এই প্রেমর কুনো অর্থ নাই।,আফনে যে মানুষটারে ভালবাসবেন তারে যদি না বুঝত ফারেন তই আফনার এই প্রেমর কুনো অর্থ নায়,"আপনে যে মানুষটারে ভালবাসবেন, তারে যদি না বুঝতে পারেন তাইলে আপনার এই প্রেমের কোনো অর্থ নাই।",আফনে যে মানুষরে ভালা পাইবা তারে যদি না বুঝতা পারইন তাইলে আফনার অউ পিরিতর কুনো মানে নাই।,Context
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আফনে নিজে অসুখী হইয়া কিলা আরেকজনরে ভালবাইসা সুখী করবেন?,আফনে নিজে অসুখী অইয়া কিতা খইরা আরেকজনরে ভালবাসিয়া সুখী খরবেন?,আপনে নিজে অসুখী হইয়া কেমনে অন্যরে ভালবাইসা সুখী করবেন?,আফনে নিজে বেজার অইয়া কিলা আরেকরে ভালা পাইয়া খুশি খরবা নি?,Context
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুঁই কারো জীবনত সুখ আনি দিবি এই ভাইবা তোঁয়ার প্রেম করা উচিত।,তুমি কার জীবনে সুখ আনিয়া দিবা এই ভাইবা তোমার প্রেম খরা উচিত,তুই কারো জীবনে সুখ আনি দিবি এই ভাইবা তোমার প্রেম করা উচিত।,তুমি কারো জীবনো সুখ আনি দিবা অউ ভাবিয়া তুমার পিরিত খরা উচিত।,Context
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আফনার মনর কথা গুলা আমারে আইজ খুইলা কন।,আফনার মনর কথা গুলা আমারে আইজ খুইলা কন,আপনার মনের কথাগুলা আমারে আইজ খুইলা কন।,আফনার মনর কথা গুইন মোরে আইজ খুলিয়া কইন।,Context
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুঁই কখনো পারবি না আরেকজনর ভালবাসারে ছিনাইয়া নিতে।,তুমি কখনই ফারবা না আরেকজনর ভালবাসারে ছিনাইয়া নিতে,তুই কখনই পারবি না অন্য কারো ভালবাসারে ছিনাইয়া নিতে।,তুমি কুনোসময় পারবে না আরেকর ভালা পাওয়ারে ছিনাইয়া লইতো।,Context
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুঁই জোর কইরা আরেকজনর ভালা লাগার মানুষ হইতে পারবি না।,তুমি জোর খইরা আরেকজনর ভালা লাগার মানুষ অইত ফারবা না,তুই জোর কইরা অন্যের ভালা লাগার মানুষ হইতে পারবি না।,তুমি জোর খরিয়া আরেকর ভালা লাগার মানুষ অইতা পারবে না।,Context
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগামিকাল সকালবেলা তাগো দেখতে পাইবেন।,আগামিকাইল শকালে তাগোরে দেখত ফারবেন,আগামিকাইল সকালবেলা তাগোরে দেখতে পাইবেন।,আগামিকাইল বিয়ানে তারারে দেখতা পাইবা।,Context
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তোঁয়ার কুন কথাতেই কুনো নিশ্চয়তা নাই।,তোমার কুন কথাতেই কুনো নিশ্চয়তা নায়,তোমার কোন কথাতেই কোনো নিশ্চয়তা নাই।,তুমার কুনো কথাত কুনো নিশ্চয়তা নাই।,Context
