bangla_speech,sylhet_bangla_speech,zero,,few,COT,context
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,মোর মনের ভালবাসা চিরদিন তোয়ার লাইগা থাইক্যা যাইব,,मोर मनर ভালাবासा चिरदिन तोर लाइगा रैया जाइब।,আমaar মনের ভালোবাসা চিরদিন তোয়ার লাইগা থাকিয়া যাইব।,মোর মনর ভালোবাসা চিরদিন তুমার লাগি থাকি যাইবো।
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কষ্টর,,जीवनत एका एका बाट छुला बहूत कठिन।,জীবনে একা একা পথ চলা অনেক কঠিন।,জীবনো একলা একলা পথ চলা বাক্কা কষ্টর।
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,মোর জীবন মুই তোমারে লইয়া বাচার লাইগা দিমু,,मोर जीवन आमि तोरे लैया बांचार लाइগा दिमु।,আমaar জীবন আমি তোয়ারে নিয়া বাঁচার লাইগা দিমু।,মোর জীবন মুই তুমারে লইয়া বাঁচার লাগি দিমু।
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,মোর ভালবাসা দিয়া সারাজীবন তোয়ার পাশে থাইক্তে সাই,,मोर ভালাবাসা दिया हरजिंदगी तोर पাশे रहन्ता चाई।,আমaar ভালোবাসা দিয়া সারাজীবন তোয়ার পাশে থাকতে চাই।,মোর ভালোবাসা দিয়া সারাজীবন তুমার পাশে থাকতাম চাই।
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোমারে কি কইরা বুঝামু তোমারে কতটা ভালবাসি?,,तोरे की कैरा बुझাইমু तोरे कित्ता ভালাবাসি?,তোয়ারে কি করিয়া বুঝামু তোয়ারে কতটা ভালোবাসি?,"তুমারে কিলা খরি বুঝাইতাম, তুমারে কিত্তা ভালা পাই?"
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আপনারে দেইখ্যা মুই দেইখ্যা থমক্যা দাড়াইয়া আছলাম,,इफ्नरे दैख्या आमि दैख्या थमिका डाड़াইया आसलাম।,আপনারে দেখিয়া আমি দেখিয়া থমকে দাড়াইয়া আছলাম।,আফনারে দেকিয়া মুই দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম।
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আপনে খুব কষ্টে নিজেকে সামলে নিছেন,,इफने खूब कष्टे निज्जोके सामला लইছिन।,আপনে খুব কষ্টে নিজেকে সামলে নিয়াছেন।,আফনে খুব কষ্টে নিজোরে সামলাইয়া নিছইন।
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,মোর বন্ধু কিছু ভাবতে পারে না আপনারে ছাড়া,,मोर बांधুবी किच्चु भাব्ता पारे ना इफ्नरे बादा।,আমaar বন্ধু কিছু ভাবতে পারে না আপনারে ছাড়া।,মোর বান্ধুবি কুনতা ভাবতাম পারে না আফনারে ছাড়া।
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,মোর বন্ধু কিছু লিখতে পারে না আপনarrer নাম ছাড়া,,मोर बन्दु किच्चु लिख्ता पारे ना इफ्नर नाम बादा।,আমaar বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া।,মোর বন্ধু কুনতা লিখতাম পারে না আফনার নাম ছাড়া।
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আপনারে ভালবাসি এই কথাটা বলা বাকি,,"इफ्नरे ভালাবासी, ऐ कथাটा बोला बाकি।",আপনারে ভালোবাসি এই কথাট্টা বলা বাকি।,"আফনারে ভালা পাই, অউ খতাটা মাতলা বাকি।"
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,মোর বাবার খুব গরম লাগতাছে,,मोर आब्बुर खूब गरम लागতাছে।,আমaar আব্বুর খুব গরম লাগতাছে।,মোর আব্বার খুব গরম লাগের।
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,মোর ছুট বাইনের গরম লাগতাছে,,मोर छोट बाइनर गरम लागতাছে।,আমaar ছুট বয়নর গরম লাগতাছে।,মোর ছুট বইনর গরম লাগের।
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই পোলাটির অনেক ঠাণ্ডা লাগতাছে,,ऐ फरफট्टার बहूत ठंडा लागতাছে।,এই ছাওয়ারট্টার অনেক ঠাণ্ডা লাগতাছে।,অউ বাইচ্চাটির বাক্কা ঠান্ডা লাগের।
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,মোর বন্ধুর খুব মন খারাপ,,मोर बन्दुर खूब मन खारাপ।,আমaar বন্ধুর খুব মন খারাপ।,মোর বন্ধুর খুব মন খারাফ।
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,আম্মু মোর লাইগা নীল শাড়ি কিনা আনছে,,आम्मु मोर लाइगा नील शाड़ी किना आनছে।,আম্মু আমaar লাইগা নীল শাড়ি কিনা আনছে।,আম্মায় মোর লাগি নীল শাড়ি কিনিয়া আনছইন।
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,মুই মোর বন্ধুক একটা লাল গুলাপ কিনা উপহার দিছি,,आमि मोर बन्दुre एक्टा लाल गुलाफ किना उपहार दिसि।,আমি আমaar বন্ধুরে একট্টা লাল গোলাপ কিনা উপহার দিছি।,মুই মোর বন্ধুরে এখটা লাল গোলাপ কিনিয়া উপহার দিছি।
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,মুই মোর বরর লগে বেলানে পার্কে ঘুড়তে যামু,,आमि मोर शोआमर लगे बेलेना পার्के घुर्ता जामु।,আমি আমaar হোবার লগে বেলাখে পার্কে ঘুরতে যামু।,মুই মোর জামাইর লগে বেলাফুরার পার্কো ঘুরাত যামু।
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কুকুরে ভালবাসা দিওয়াতেই বেশি আনন্দ লাগে মোর,,खौनকु ভালাবাসा देवारेइ बेसी आनन्द लागे मोर।,কাউকেও ভালোবাসা দেইওয়াতেই বেশি আনন্দ লাগে আমaar।,খেউরে ভালোবাসা দেওয়াতেউ বেশী আনন্দ লাগে মোর।
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুঁই মোর কাছে ফিরা আস, তবে তারে ছেড়া দিয়া দে",,"जदि तुमि मोर लगे फिरा आश, तब्बो हिनre छेड़ा दियাও।","যদি তুঁই আমaar কাছে ফিরা আস, তবে তাারে ছেড়ে দে।","যদি তুমি মোর কান্দাত ফিরা আইয়া আও, তাইলে তাইরে ছাড়িত্তে দিয়া।"
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,সি তোয়ার লাইগা সব কিছু কুরতে পারে,,हिन तोर लाइगा हरा किच्चु खर्ता पारे।,সি তোয়ার লাইগা সব কিছু করতে পারে।,হে তुमার লাগি হখল জিনিস খরতা পারে।
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,আপনে যে মানষট্টাকে ভালবাসবান তারে যদি না বুঝতে পারেন তাহলে আপনের এই প্রেমর কুনো অর্থ নাই,,"इफने जे मानषट्टারে ভালাবासब्बो, हिनre जदि ना बुझ्ता पारেন, ताइल्ला इफ्नर ऐ प्रेमर कुन अर्थ नाइ।",আপনে যে মানুষটারে ভালোবাসবুন তাারে যদি না বুঝতে পারুন তাহলে আপনার এই প্রেমের কোন অর্থ নাই।,"আফনে যেগু মানুষরে ভালা পাইবায়, তাইরে যদি না বুঝতাম পারবায়, তাইলে আফনার অউ পেরেমর কুনো অর্থ নাই।"
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আপনে নিজে অসুখী হুইয়া কিভাবে অন্যটাকে ভালবাসি সুখী করবান?,,इफने निज्जे असुखी हुआ कैवन अइनকु ভালाबैसी सुखी खरब्बेन?,আপনে নিজে অসুখী হইয়া কিভাবে অন্যরে ভালোবেসে সুখী করবুন?,আফনে নিজেউ অসুখী অইয়া কিলা আন্যেরে ভালা পাইয়া সুখী খরবায়?
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুঁই কারো জীবনে সুখ আনিয়া দিব এই ভাব্যা তোয়ার প্রেম কুরা উচিত,,"तुमि खरर जीवनत सुख आना दिब्बो, ऐ भাবিয়া तोर प्रेम खरार উचित।",তুঁই কারোর জীবনে সুখ আনিয়া দিবি এই ভাবিয়া তোয়ার প্রেম করা উচিত।,"তুমি কারো জীবনো সুখ আনিয়া দিবায়, অউ ভাবিয়া তুমার পিরিত খরা উচিত।"
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আপনার মনের কথা গুলা মোরে আজ খুলা বলুন,,इफ्नर मनर कथा फतারা मोरे आज खुला बोलুন।,আপনার মনের কথাগুলা আমারে আজ খুলা বলুন।,আফনার মনর খতাগুরে আমারে আইজকু খুলিয়া কইন।
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুঁই কখনই পারবি না অন্যটার ভালবাসাকে ছিনাইয়া নিতে,,तुमि कुनुइ पारब्बो ना अइन खरर ভালাবासare छिनाइয়া लান্তा।,তুঁই কখনই পারবি না অন্যয় কারুর ভালোবাসারে ছিনাইয়া নিতে।,তুমি কুনোই পারবায় না আন্যা কারো ভালোবাসারে ছিনাইয়া নিতে।
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুঁই জোর কইরা অন্যটার ভাল লাগার মানষ হুইতে পারবি না,,तुमि जोर करा अइनर भला लागार मानष हुन्ता पारब्बो ना।,তুঁই জোর করিয়া অন্যয়র ভালা লাগার মানুষ হইতে পারবি না。,তুমি জোর খরি আন্যের ভালা লাগার মানুষ অইতাম পারবায় না।
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগামিকাল সকালবেলা তাদেরকে দেইখ্তে পাবেন,,आগামिकाल सকালবেল्ला हिनफररे दেখ्ता पाइब्बेन।,আগামিকাল সকালবেলা তাদেরে দেখতে পাইবুন।,আগামিকাল সকালবেলা ইতাররে দেখতাম পাইবায়।
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তোয়ার কুন কথাতেই কুনো নিশ্চয়তা নাই,,तोर कुन कथातइ कुन निश्चयता नाइ।,তোয়ার কোন কথাতেই কোন নিশ্চয়তা নাই।,তুমার কুনো মাতেতিই কুনো নিশ্চয়তা নাই।
