bangla_speech,sylhet_bangla_speech,zero,few,cot,context
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিবো,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দেব,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আমার ভালোবাসা দিয়ে সারাজীবন তোমার সাথে থাকতে চাই,আমার ভালোবাসা দিয়ে সারাজীবন তোমার সাথে থাকতে চাই,আমার ভালোবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালোবাসা দিয়ে সারাজীবন তোমার সাথে থাকতে চাই
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোমাকে কী করে বুঝাব তোমাকে কতটা ভালোবাসি?,তোমাকে কী করে বুঝাবো তোমাকে কতটা ভালোবাসি?,তোমাকে কী করে বুঝাবো তোমাকে কতটা ভালোবাসি?,তোমাকে কী করে বুঝাবো তোমাকে কতটা ভালোবাসি?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আপনাকে দেখে আমি দেখে থমকে গিয়েছিলাম,আপনাকে দেখে আমি দেখে থমকে উঠেছিলাম,আপনাকে দেখে আমি দেখে থমকে দাঁড়িয়ে ছিলাম,আপনাকে দেখে আমি দেখে থমকে দাঁড়িয়ে ছিলাম
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আপনাকে ভালোবাসি এই কথাটি বলার বাকি,আপনাকে ভালোবাসি এই কথাটি বলার বাকি,আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আপনাকে ভালোবাসি এই কথাটি বলা বাকি
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,আমার বাফের খুব গরম লাগছে,আমার বাফার খুব গরম লাগছে,আমার আব্বুর খুব গরম লাগছে,আমার বাবার খুব গরম লাগছে
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,আমার ছোট বোনের গরম লাগছে,আমার ছোট বোনের গরম লাগছে,আমার ছোট বোনের গরম লাগছে,আমার ছোট বোনের গরম লাগছে
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই শিশুটার অনেক ঠান্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগছে,এই শিশুটির অনেক ঠান্ডা লাগছে,এই শিশুটির অনেক ঠান্ডা লাগছে
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,আমার বন্ধুর খুব বেশি খারাপ,আমার বন্ধুর খুব বেশি খারাপ,আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব মন খারাপ
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,মা আমার জন্য নীল শাড়ি কিনে আনছে,মা আমার জন্য নীল শাড়ি কিনে আনছে,আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মা আমার জন্য নীল শাড়ি কিনে এনেছেন
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,আমি আমার বন্ধুকে একটা লাল গোলাপ কিনে উপহার দিয়েছি,আমি আমার বন্ধুকে একটা লাল গোলাপ কিনে উপহার দিয়েছি,আমি আমার বন্ধুকে একটা লাল গোলাপ কিনে উপহার দিয়েছি,আমি আমার বন্ধুকে একটা লাল গোলাপ কিনে উপহার দিয়েছি
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,আমি আমার স্বামীর সাথে বিয়ানে পার্কে ঘুরতে যাব,আমি আমার স্বামীর সাথে বিয়ানে পার্কে ঘুরতে যাবো,আমি আমার স্বামীর সাথে বিকেলে পার্কে ঘুরতে যাব,আমি আমার স্বামীর সাথে সকালে পার্কে ঘুরতে যাব
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুষি লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুষি লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি খুশি লাগে আমার
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও"
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,সে তোমার জন্য সব কিছু করতে পারে,সে তোমার জন্য সব কিছু করতে পারে,সে তোমার জন্য সবকিছু করতে পারে,সে তোমার জন্য সব কিছু করতে পারে
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,আপনি যে মানুষটাকে ভালোবাসবেন তাকে যদি না বুঝবার পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আপনি যে মানুষটাকে ভালোবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আপনি যে মানুষটিকে ভালোবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আপনি যে মানুষটাকে ভালোবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আপনি নিজে অসুখী হয়ে কিন্তু অন্যকে ভালোবাসিয়ে সুখী করবেন,আপনি নিজে অসুখী হয়ে কিন্তু অন্যকে ভালোবাসিয়ে সুখী করবেন,আপনি নিজে অসুখী হয়ে কীভাবে অন্যকে ভালোবেসে সুখী করবেন,আপনি নিজে অসুখী হয়ে কীভাবে অন্যকে ভালোবাসিয়ে সুখী করবেন
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুমি কারো জীবনে সুখ এনে দিবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আপনার মনের কথাগুলো আমাকে আজ খুলে বলুন,আপনার মনের কথাগুলো আমাকে আজ খুলে বলুন,আপনার মনের কথাগুলো আমাকে আজ খুলে বলুন,আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনও পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুমি জোর করে অন্যের ভালো লাগার জন্য পারবে না,তুমি জোর করে অন্যের ভালো লাগার জন্য পারবে না,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগামীকাল সকালবেলা তাদেরকে দেখতে পারবে,আগামীকাল সকালবেলা তাদেরকে দেখতে পারবে,আগামীকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে পাবেন
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তোমার কোনো কথারই কোনো হদিস নেই,তোমার কোনো কথারই কোনো হদিস নেই,তোমার কোনো কথাতেই কোনো নিশ্চয়তা নেই,তোমার কোনো কথাতেই কোনও নিশ্চয়তা নেই
