bangla_speech,sylhet_bangla_speech,zero,few,cot,context
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দেব।,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দেব,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দেবো,আমার জিন্দেগি মুই তুমারে লইয়া বাঁচার লাগি দিমু
আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আমার ভালোবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই।,আমার ভালোবাসা দিয়ে সারাজীবন তোমার সাথে থাকতে চাই,আমার ভালোবাসা দিয়ে সারা জীবন তোমার সাথে থাকতে চাই,আমার ভালাপাওয়া দিয়া সারাজিন্দেগি তুমার কান্দাত থাইতাম চাই
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোমাকে কীভাবে বোঝাবো তোমাকে কতটা ভালোবাসি?,তোমাকে কীভাবে বুঝাবো তোমাকে কতটা ভালোবাসি?,তোমাকে কিভাবে বোঝাই তোমাকে কতটা ভালোবাসি?,তুমারে কিলা বুজাইতাম তুমারে কিত্তা ভালাপাই?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আপনাকে দেখে আমি থমকে দাঁড়িয়ে ছিলাম।,আপনাকে দেখে আমি থমকে দাঁড়িয়ে গিয়েছিলাম,আপনাকে দেখে আমি তাকিয়ে থমকে গিয়েছিলাম,আফনারে দেকিয়া মুই ভেমটালা লাগাইয়া উবানিত আছিলাম
আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন।,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,আফনে বহুৎ খষ্টে নিজোরে সামলাইয়া নিছইন
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া।,আমার বান্ধবী কিছু ভাবতে পারে না আপনাকে ছাড়া,আমার বান্ধবী কিছুই ভাবতে পারে না আপনাকে ছাড়া,আমার বান্ধুবি কিচ্চু ভাবতে ফারে না আফনারে ছাড়া
আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া।,আমার বন্ধু কিছু লিখতে পারে না আপনার নাম ছাড়া,আমার বন্ধু কিছুই লিখতে পারে না আপনার নাম ছাড়া,আমার বন্ধু কিচ্চু লিখতে ফারে না আফনার নাম ছাড়া
আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আপনাকে ভালোবাসি—এই কথাটি বলা বাকি।,আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আপনাকে ভালোবাসি এই কথাটি বলা বাকি,আফনারে ভালাপাই এই খতাটা খইবার বাক্কি
আমার আব্বুর খুব গরম লাগছে,আমার বাফর খুব গরম লাগছে,আমার বাবার খুব গরম লাগছে।,আমার আব্বুর খুব গরম লাগছে,আমার বাবার খুব গরম লাগছে,আমার আব্বুর খুব গরম লাগের
আমার ছোট বোনের গরম লাগছে,আমার ছোট বোইনর গরম লাগছে,আমার ছোট বোনের গরম লাগছে।,আমার ছোট বোনের গরম লাগছে,আমার ছোট বোনের গরম লাগছে,আমার ছুটো বইনের গরম লাগের
এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই শিশুটির খুব ঠান্ডা লাগছে।,এই শিশুটির অনেক ঠান্ডা লাগছে,এই শিশুটির অনেক ঠান্ডা লেগেছে,অউ বাইচ্চাটার বহুৎ ঠান্ডা লাগের
আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব বিতর খারাফ,আমার বন্ধুর মন খুব খারাপ।,আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর খুব মন খারাপ,আমার বন্ধুর বহুৎ মন খারাফ
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,মা আমার জন্য নীল শাড়ি কিনে এনেছেন।,আম্মু আমার জন্য নীল শাড়ি কিনে এনেছেন,মা আমার জন্য নীল শাড়ি কিনে এনেছেন,আম্মু আমার লাগি নীল শাড়ি কিনিয়া আনছইন
আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি।,আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,মুই আমার বন্ধুরে এখটা লাল গোলাপ কিনিয়া দিছি
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,আমি আমার স্বামীর সাথে বিকেলে পার্কে ঘুরতে যাব।,আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,আমি আমার স্বামীর সাথে বিকেলে পার্কে ঘুরতে যাব,মুই আমার জামাই লগে বিকালত পার্কে গুরাত যামু
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই আমার বেশি আনন্দ লাগে।,কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,খেউরে ভালাপাওয়া দিত্তেই আমার বহুৎ আনন্দ লাগে
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও।","যদি তুমি আমার কাছে ফিরে আস, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","যদি তুমি আমার কছে ফিরা আস, তাইলে তাইরে ছাড় দাও"
সে তোমার জন্য সব কিছু করতে পারে,সে তোমার লাগি সব কিছু করতে ফারে,সে তোমার জন্য সব কিছু করতে পারে।,সে তোমার জন্য সব কিছু করতে পারে,সে তোমার জন্য সব কিছু করতে পারে,হে তুমার লাগি হকল কিছি খরতে ফারে
আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,আপনি যে মানুষটিকে ভালোবাসবেন তাকে যদি না বুঝতে পারেন তবে আপনার এই প্রেমের কোনো অর্থ নেই।,আপনি যে মানুষটিকে ভালোবাসবেন তাকে যদি না বোঝেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,আপনি যে মানুষটিকে ভালোবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,"আফনে যে মানুষটারে ভালাপাইবেন তাইরে যদি না বুজইন, তাইলে আফনার এই পেরেমর কুনো মানে নায়"
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আপনি নিজে অসুখী হয়ে কীভাবে অন্যকে ভালোবেসে সুখী করবেন?,আপনি নিজে অসুখী হয়ে কীভাবে অন্যকে ভালোবেসে সুখী করবেন,আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,আফনে নিজে অসুখী অইয়া কিলা অন্যরে ভালাপাইরা সুখী করইন
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত।,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুমি খেউর জিন্দেগিত সুখ আনিবা এই ভাবি তুমার পেরেম খরা উচিত
আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আপনার মনের কথা আজ আমাকে খুলে বলুন।,আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,আপনার মনের কথাগুলো আমাকে আজ খুলে বলুন,আফনার মনর খতা গুলি আমারে আইজ খুলা কওন
তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে।,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কখনোই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুমি কুনোদিন পারবা নি অন্যর ভালাপাওয়ারে ছিনাই লইত
তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না।,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুমি জোর করে অন্যের ভালো লাগা নিতে পারবে না,তুমি জোড়ে অন্যর ভালা লাগার মানুষ অইত পারবা নি
আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগামীকাল সকালে তাদেরকে দেখতে পাবে।,আগামিকাল সকালবেলা তাদেরকে দেখতে পাবে,আগামীকাল সকালে তাদেরকে দেখতে পারবে,ফালান বিয়ানে তারারে দেকতাম পারইন
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোমার কোনো মাতই কোনোও হদিস নাই,তোমার কোনো কথাতেই কোনো নিশ্চয়তা নেই।,তোমার কোনো কথাতেই কোনো নিশ্চয়তা নেই,তোমার কোনো কথাতেই কোনো নিশ্চয়তা নেই,তুমার কুন মাতত কুন নিশ্চয়তা নায়
