,Bangla,sylheti
854,গেছিলো,গেছিল
855,গেছে,গেছে
856,গেছেন,"গেছইন, গেছোইন, যেতুক"
857,গেছো,গেছো
858,গেঞ্জাম,গেঞ্জাম
859,গেল,গেলো
860,"গেল,","গেলো,"
861,গেলাম,"গেছি, গেলাম, হেছি"
862,গেলে,"গেছে, গেলে"
863,"গেলে,","গেলেগি,"
864,গেলেও,গেলো
865,গেলেন,"গি, গেলা"
866,গেলো,নাকিতা?
867,"গেসে,","গেছে,"
868,গোনা,নাই
869,গোপন,গুফন
870,"গোপন,",গুফন
871,গোল,গোল
872,গোলাপ,"গোলাপ, দিতাম"
873,"গোলাপ,","গোলাপ,"
874,গোসল,গুছল
875,গ্যাপ,গ্যাপ
876,গ্রহে,গ্রহত
877,গ্রাম,গাউ
878,গ্রামপ্রধান,গ্রামপ্রধান
879,গ্রামে,গ্রামো
880,গ্রামের,গাউর
881,ঘটনা,"ঘটনা, সব"
882,ঘটনাটা,ঘটনাটা
883,ঘটনার,ঘটনা
884,ঘটে,"ঘটা, ঘটি"
885,ঘড়,ঘর
886,ঘড়িতে,ঘড়িত
887,ঘড়ীটা,ঘড়িগুতা
888,ঘন,ঘন
889,ঘন্টা,ঘন্টা
890,ঘরটি,ঘরটা
891,ঘরবাড়ী,ঘরবাড়ি
892,ঘরে,"ঘর, ঘর-ও, ঘরও, ঘরো, ফুরিন্তোর"
893,ঘরের,"ঘরর, ঘরের"
894,ঘামে,ঘামে
895,ঘাসে,ওর
896,ঘাসের,ঘাস
897,ঘুড়ি,গুড্ডি
898,ঘুম,ঘুম
899,ঘুমাই,ঘুমাই
900,ঘুমাতে,ঘুমাইতে
901,"ঘুমাবে,",ঘুমাইবো
902,ঘুমায়,"ঘুমাও, ঘুমায়"
903,ঘুমিয়ে,ঘুমাইয়া
904,ঘুমিয়ে,ঘুমাই
905,ঘুরছে,ঘুরিয়া বেড়ার
906,ঘুরতে,পাখানিত
907,ঘুরতে ,পাখানিত 
908,ঘুরবো,ঘুরি
909,ঘুরিয়ে,গুরাইয়া
910,ঘুরে,"গুরিয়া, ঘুরিয়া, পৃথিবী"
911,ঘুরেছি,ফাইছি
912,ঘৃণা,ঘিন্নাই
913,ঘোড়া,ঘোড়া
914,ঘোমটা,ঘোমটা
915,চমৎকার,বেশেবা
916,চল,চল
917,চলছে,চলছিল
918,চলতাসে,চলের
919,চলতে,চলতো
920,চলতেই,চলতোউ
921,চলল,যার
922,চলা,চলা
923,চলার,চলার
924,চলুন,যাউকা
925,চলে,অউ
926,চলে গেছে,গেছে গিয়া
927,চলেছে,গেছে গিয়া
928,চলো,চলোউকা
929,চলোনা,চলোনা
930,চা,চা
931,চাই,চাই
932,"চাই,",চাইন
933,চাইছি,চাইয়ার
934,চাইছে,"চাইছইন, চাইছিল"
935,চাইত,চাইতা
936,চাইতে,"চাইতে, চাওয়া"
937,চাইতো,"করিয়া, চাইতা, চাইতো"
938,চাইবো?,চাইতাম?
939,চাইল,"চাইছিল, চাইলো"
940,চাইলাম,হখানও
941,চাইলে,চাইলে
942,"চাইলে,কোথায়","চাইলে,"
943,চাইলেই,চাইলেউ
944,চাও,চাও
945,চাও?,চাও
946,চাওয়া,চাওয়া
947,চাওয়ার,চাওয়ার
948,চাকরি,চাকরি
949,চাকরির,চাকরির
950,চাচা,চাচা
951,চাচার,চাচার
952,চাচারাও,চাচাইন্তেও
953,চাচ্ছি,"চাইরাম, চাইয়ার, ভালা"
954,চাচ্ছিল,চাইছলা
955,চাঁদ,ছান
956,চাঁদের,মিষ্টি
957,চান,চাইন
958,চানাচুর,চানাচুর
959,চানাচুরওয়ালাকে,চানাচুরআলারে
960,চাপ,চাপ
961,চাপাবাজি,গফ
962,চাবি,চাবি
963,চামচ,চামচ
964,চামুচ,চামচ
965,চায়,চায়
966,চায়,কয়
967,"চায়,","চাইন, চায়,"
968,চার,চাইর
969,চারটায়,চাইট্টাত
970,চারদিকে,চাইরিদকে
971,চারপাশে,চাইরো
972,চালাক,চালু
973,চালানোর,তনে
974,চালিয়ে,চালাইয়া
975,চালিয়ে,চালাইয়া
976,চাষ,চাষ
977,চাষাবাদ,চাষাবাদ
978,চাষী,চাষিয়ে
979,চাষের,চাষের
980,চাস,চাস?
981,চাহিদা,চাহিদা
982,চিঠি,চিঠি
983,চিংড়ি,ইচা
984,চিড়িয়াখানা,চিরিয়াখানা
985,চিৎকার,চিক্কার
986,চিনতে ,চিনতাম পারিয়ার না
987,চিনে,চিনইন
988,চিনেন,চিনইন
989,চিনো ?,চিনো নি?
990,চিনো?,চিনো নি? / চিনতে পারিয়ার না
991,চিন্তা,চিন্তা
992,চুরি,চুরি
993,চুল,চুল
994,চেয়েও,তাকিও
995,চোখ,চউক
996,চোখে,চউকে
997,চোখের,চকুর
998,চ্যাম্পিয়ন,চ্যাম্পিয়ন
999,ছবি,ছবি
1000,ছবিঃ,—
1001,ছবিগুলো,ছবিগুইন
1002,ছবিটি,ছবিটা
1003,ছাড়তে,ছাড়া
1004,ছাড়বেনা,ছাড়তা
1005,ছাড়া,ছাড়া
1006,ছিল,আছিল
1007,ছিলাম,রইছলাম
1008,ছুটি,ছুটি
1009,ছুটির,ছুটির
1010,ছুঁয়ে,ছুয়ার
1011,ছেলে,ফুয়াইন
1012,ছেলেটা,ফুয়াটা
1013,ছেলেটি,ফুয়াটায়
1014,ছেলেদের,ফুয়াইন্তর
1015,ছেলের,ফুয়ার
1016,ছোট,ছুটো
1017,ছোট ,ছুটো 
1018,ছোটবেলার,হুরুকালর
1019,ছোটো,ছোট
1020,ছোট্ট,হুরু
1021,জঙ্গলে,জঙ্গলে
1022,জড়িয়ে,জড়াই
1023,জনপ্রিয়,জনপ্রিয়
1024,জন্মদিন,জন্মদিন
1025,জন্য,লাগি
1026,জবাব,জবাব
1027,জমি,জাগা জমিন
1028,জয়,জিতছে
1029,জরুরি,দরখারি
1030,জানতে,জানলাম
1031,জানাতে,জানাইতে
1032,জানি,এখটা
1033,জানেন?,চিনইন
1034,জিনিষটা,জিনিসটা
1035,জিনিস,জিনিস
1036,জীবন,জীবনে
1037,জীবন ,জীবন 
1038,জীবনটা,জিন্দেগি
1039,জীবনে,জীবনো
1040,জীবনের,জীবনর
1041,জ্ঞান,গিয়ান
1042,ঝগড়া,লাগালাগি
1043,ঝগড়া,মাইর অয়
1044,টাক,টাখলা
1045,টাকা,টেখা
1046,টিকবে,টিকতো
1047,টিভি,টিভি
1048,টেনশনে,আছি
1049,ঠাণ্ডা,ঠান্ডা
1050,ঠিক,ঠিক
1051,ঠিক কথাই,ঠিক কথাউ
1052,ডাক,ডাখ
1053,ডাক্তার,ডাখতর
1054,ডাক্তারের,ডাখতরর
1055,ঢাকা,ঢাকা
1056,ঢাকায়,ঢাকাত
1057,তখনই,হ
1058,তাকিয়ে,চাইয়া
1059,তাড়াতাড়ি,দিন
1060,তাঁদের,ইতার
1061,তার,তার
1062,তাঁর,তাইর
1063,তাঁর ,তার 
1064,তাঁর / তার,তার
1065,তাঁর সব,তাইর হখল
1066,তারা,তারা
1067,তারাগুলি,তারা ওগুন্তে
1068,তাহলে,তাইলে
1069,তিনি,তাইন
1070,তুই,তুই
1071,তুমি,তুমি / তুমারে (context)
1072,তুলতে,তুলা
1073,তো,তো
1074,তোকে,তরে
1075,তোমাকে,তুমারে
1076,তোমাদের,তুমার
1077,তোমায়,তুমারে
1078,তোমার,তুমার
1079,তোমিহীন,তুমি ছাড়া
1080,তোর,তর
1081,তোলতে,তুলতে
1082,থমকে,ভেমটালা লাগিয়া
1083,থাকতাম,থাকতাম
1084,থাকতে,থাকতাম
1085,থাকলে,থাখলে
1086,থাকা,থাকা
1087,থাকার,থাকা
1088,থাকি,"থাকিয়ার,"
1089,থাকে,থাকে
1090,থেকে,থাকি
1091,থেমে,থামিয়া
1092,দম,দম
1093,দয়া,দয়া
1094,দল,দল
1095,দলকে,দলরে
1096,দলের,দল ওকলতোর
1097,দশ,দশ
1098,দাঁড়িয়ে,উবানিত
1099,দাঁত,দাঁতও
1100,দাবি,দাবি
1101,দায়িত্ব,দায়িত্ব
1102,দারওয়ান,দারোয়ান
1103,দিই,দিলাই
1104,দিও,দিওছাইন
1105,দিওনা,দিও না
1106,দিকে,দিকে
1107,দিতে,দিতা
1108,দিন,নি
1109,দিনগুলো,ওকল
1110,দিনেও,দিনও
1111,দিনের,দিনর
1112,দিব,দিতাম
1113,দিবো,দিতাম
1114,দিয়ে,দিয়া
1115,দিয়েছে,দিছে
1116,দিয়েন,দেইন
1117,দিলে,দিলে
1118,দুই,দুই
1119,দুইটি,দুইটা
1120,দুইদিন ,দুইদিন 
1121,দুচোখ,দুই চউক
1122,দুনিয়ার,দুনিয়ার
1123,দুর্বলতা,দুর্বলতা
1124,দূর,দূরই
1125,দূরে,দূরই
1126,দেওয়া,—
1127,দেখছিলাম,দেখাত
1128,দেখতে,দেখতায়
1129,দেখবো,দেখমু
1130,দেখল,দেখলা
1131,দেখলাম,দেখলাম
1132,দেখা,দেখা
1133,দেখা করতে,দেখা করাত
1134,দেখা করতে এসেছিল,দেখা করাত আইছিল
1135,দেখার,দেখার
1136,দেখি,দেখি
1137,দেখি নাই,দেখছি না
1138,দেখে,দেকিয়া
1139,দেখেনি,দেখছে না
1140,দেব,দিমু
1141,দেশ,দেশ
1142,দোকান,দুকান
1143,দোকানে,দুকানো
1144,ধন্যবাদ,ধন্যবাদ
1145,ধরণ,ধরন
1146,ধরলে,ধরিলাইলে
1147,ধরা,ধরা
1148,ধরে,ধরি
1149,ধুতে,ধুয়া
1150,নতুন,নয়া
1151,নতুনরা,নয়া
1152,নদী,ওইলো
1153,নদীর,নদীর
1154,নয়,নায়
1155,না,অই
1156,"না,",ইতা
1157,নাই,না
1158,নাকি,বুলে
1159,নাকি?,
1160,নাচতে,নাচতা
1161,নাটক,নাটক
1162,নাম,নাম
1163,নামক,নাম
1164,নামে,নামে
1165,নিচে,তলে
1166,নিজেই,নিজেউ
1167,নিজেকে,নিজোরে
1168,নিয়ে,লইয়া
1169,নিলাম,নিছলাম
1170,নীল,নীল
1171,নীলে,নীলো
1172,নেই,নাই
1173,নেই / নাহ / না,নায়
1174,নেয়া,লই
1175,পক্ষ,পক্ষ
1176,পছন্দ,পছন্দ
1177,পছন্দের,পছন্দর
1178,পড়তে,পড়তা
1179,পড়তে,পড়তে
1180,পড়বে,ফরবা
1181,পড়লে,ফরলে
1182,পড়ার,যাওয়ার
1183,পড়ালেখা,পড়ার
1184,পড়ালেখা করতে,পড়ালেখা খরতো / পড়ালেখা করতে
1185,পড়াশুনা,পড়ি
1186,পড়ে,পড়িয়া
1187,পথে,পতো
1188,পর,বাদে
1189,পরই,পর
1190,পরকীয়া,পরকীয়া
1191,পরার,পরার
1192,পরিচিত,পরিচিত
1193,পরিবর্তন,বদলি
1194,পরিবর্তন ,বদলি 
1195,পরিবারে,পরিবারো
1196,পরিবারের,পরিবারর
1197,পরে,পিন্দিয়া
1198,পলাতক,ভাগন্তিত
1199,পশু,পশু
1200,পাই,ফাই
1201,পাইতে,পাইতে
1202,পাওয়া,পাওয়া
1203,পাখি,পাখি
1204,পাখির,পাখির
1205,পাঁচ,পাঁচ
1206,পাচ্ছে,ডরাইরা
1207,পাতলা,হাজার
1208,পানি,পানি
1209,পানির,পানির
1210,পাবে না,নায়
1211,পারব,ফারতাম
1212,পারবি?,ফারবে নি?
1213,পারবে,পারবা
1214,পারবেন?,ফারবা নি?
1215,পারলাম,তাই
1216,পারলাম না,পারিয়ার না
1217,পারি,ফারি
1218,পারি?,পারি নি?
1219,পারিনা,ফারিনা
1220,পারিস?,ফারোস নি?
1221,পারে,পারইন
1222,পারেন,ফারোইন
1223,পারেন?,ফারবা নি?
1224,পার্কে,পার্কো
1225,পালন,ফালন
1226,পালাতক,ভাগন্তিত
1227,পাল্লায়,চক্করো
1228,পাশ,পাশ
1229,পাশাপাশি,কান্দাকান্দিত
1230,পাশে,পাশে
1231,পাশের,লাগা
1232,পাহাড়ের,পাহাড়র
1233,পুকুর,পুকোইর
1234,পুকুরে,পুকইরো
1235,পুতুলগুলো,পুতুলগুইন
1236,পুরনো,পুরানা
1237,পুরোটা,ফুরাটা
1238,পূরণ,পুরণ
1239,পৃথিবী,দুনিয়া
1240,"পৃথিবী,",দুনিয়া
1241,পৃথিবীতে,পৃথিবীত
1242,পৃথিবীর,দুনিয়ার
1243,পেছনে,লাইনো
1244,পেয়েছি,পাইছি
1245,পেরেছি,ফারছি
1246,পেলো,পাইলো
1247,পোস্ট,পোস্ট
1248,পোস্টটি,পোস্টটা
1249,প্রতিদান,প্রতিদান
1250,প্রতিদিন,ফত্তেকদিন
1251,প্রথমে,পয়লা
1252,প্রধান,প্রধান
1253,প্রধানত,আসলে
1254,প্রশ্ন,জিকানির
1255,প্রশ্নের,প্রশ্ন'র
1256,প্রস্তুত,প্রস্তুত
1257,প্রায়,বাক্কা
1258,প্রিয়,প্রিয়
1259,প্রেম,পিরিত
1260,প্রেমহীন,পেরেম ছাড়া
1261,প্রেমে,পেরেমো
1262,ফাইল,ফাইল
1263,ফিরে,থাকি আওয়া
1264,ফুটবল,ফুটবল
1265,ফুটবলারগুলি,ফুটবলার ওকল
1266,ফুটবলে,ফুটবলও
1267,ফুটবলের,ফুটবল ওর
1268,ফুল,ফুল
1269,ফুলগুলোর,ফুুল
1270,ফেরত,ফিরত
1271,ফোনে,ফোনে
1272,ফ্রান্স,
1273,বই,বই
1274,বই পড়তে,বই পড়তে / বই পড়ার
1275,বইটি,বইটা
1276,বউ,বউ
1277,বউকে,বউরে
1278,বউয়ের,বউর
1279,বছর,বত্‌শর
1280,বড়,বড়
1281,বড়,বড়
1282,বড়লোক,ধনী
1283,বন্ধ,বন
1284,বন্ধু,বন্ধু
1285,বন্ধুকে,বন্ধুরে
1286,বন্ধুদের,বন্ধুবান্ধব
1287,বন্ধুদের ,বন্ধুরার 
1288,বন্ধুরা,বন্ধুরা
1289,বয়স,বয়স
1290,বলছে,মাতের
1291,বলতে,কইতাম
1292,বলবে,মাতবায়
1293,বলবো,খইতাম নায়
1294,বলার,জিকানির
1295,বলে,দেকিয়া
1296,বলেছিল,কইছলা
1297,বলেছেন,মাতলা
1298,বসবা?,বইবায় নি?
1299,বসে,বই
1300,বাইরে,বাইরে
1301,বাগানে,বাগানো
1302,বাঁচে,"না,"
1303,বাজে,বাদুয়া
1304,বাড়ি,বাড়ি
1305,বাড়ির,বাড়ির
1306,বাথরুমে,বাথরুমে
1307,বানাতে,বানাইতো
1308,বাবা,আব্বা
1309,বাবার,আব্বার
1310,বাবু,বাবু
1311,বার্সেলোনা,বার্সেলোনা
1312,বাংলা,বাংলা
1313,বাংলাদেশ,বাংলাদেশ ওর
1314,বাংলাদেশে,বাংলাদেশো
1315,বাংলাদেশের,বাংলাদেশ ওর
1316,বাংলায়,বাংলায়
1317,বাসায়,বাসাত
1318,বাসার,বাসার
1319,বাস্তব,বাস্তব
1320,বিছানায়,বিছনাত
1321,বিছানায়,বিছনাত
1322,বিদেশে,বিদেশ
1323,বিদ্যালয়, ইস্কুল
1324,বিদ্যালয়ে,ইস্কুলো / ইস্কুল
1325,বিদ্যালয়ের মাঠে,ইস্কুলর মাঠো
1326,বিদ্যুৎ,বিদ্যুৎ
1327,বিবাহ,বিয়া
1328,বিয়ে,বিয়া
1329,বিয়ে ,বিয়া 
1330,বিয়েতে,বিয়াত
1331,বিয়ের,হেঙ্গার
1332,বিরক্তিকর,বিরক্তিকর
1333,বিরক্তিকর ছিল,বিরক্তিকর আছিল
1334,বিরতি,থামি
1335,বিশ্বকাপ,বিশ্বকাপ
1336,বিশ্বসেরা,ওগু বিশ্বসেরা
1337,বিশ্রাম,বিশ্রাম
1338,বিষয়,দরকার
1339,বুকটা,বুকটা
1340,বুকে,বুকুত
1341,বুঝতাম,বুঝতাম
1342,বুঝতে,বুঝতাম
1343,বুঝাবো,বুঝাইতাম
1344,বুঝি,বুজি
1345,বুঝে,বুজইন
1346,বৃষ্টি পড়ে,বৃষ্টি পড়ে
1347,বেকার,বাওটা
1348,বেঁচে,বাঁচিয়া
1349,বের,বারইছিল
1350,বেশ,বাক্কা
1351,বেশি,বেশিদিন
1352,বোতল,বুতল
1353,বোন,বইন
1354,বোনকে,বইনরে
1355,বোনের,বইন ওর
1356,ব্যথা,বেদনা
1357,ব্রাজিল,ব্রাজিল
1358,ব্লগটি,ব্লগটা
1359,ভদ্র,ভদ্র
1360,ভবিষ্যতে,আব্বা
1361,ভবিষ্যতের,ভবিষ্যতর
1362,ভয়,ডর
1363,ভয়ে,"ডরে, বাসাত"
1364,ভরে,ভরি
1365,ভর্তি,"অই, ভর্তি"
1366,ভাই,ভাউ
1367,ভাইকে,ভাইরে
1368,ভাইকেই,ভাইরেউ
1369,ভাইটি,ভাই
1370,ভাইয়া,ভাইয়া
1371,ভাইয়ের,ভাই ওর
1372,ভাইয়েরা,ভাইসাবরা
1373,ভাইয়েরা,ভাইরা
1374,ভাগ,ভাগ
1375,ভাগ্য,ভাইগ্য
1376,ভাগ্যবতী,নাম্বার
1377,ভাজা,ভাজা
1378,ভাজি,ভাজি
1379,ভাত,ভাত
1380,ভান,ভান
1381,ভাবছি,ভাবিয়ার
1382,ভাববে,ভাবতা
1383,ভাববেন,ভাববা
1384,ভাবলাম,ভাবিয়ার
1385,ভাবি,ভাবি
1386,ভাবিও,ভাবছিও
1387,ভাবে,"তাকি, প্রকারে, ভাবে, মাঝে"
1388,ভাবেই,ভাবেউ
1389,ভাব্বো,ভাবিমু
1390,ভারতীয়,ভারতীয়
1391,ভারী,ভারি
1392,ভাল,"অউ, ভালা"
1393,ভাল মত,ভালা মত
1394,ভাল লাগে না,ভালা লাগে না
1395,ভালই,ভালা
1396,ভালবাসতো,ভালা পাইতো
1397,ভালবাসা,"পিরিত, পিরিতর, ভালোবাসা, মিছামিছিরটা"
1398,ভালবাসার,"ভালা, ভালাপাওয়ার"
1399,ভালবাসার ,ভালা পাওয়ার 
1400,ভালবাসি,বালা ফাই
1401,ভালবাসে,ভালা পায়
1402,"ভালবাসে,তখন",ভালাপায়
1403,ভালবাসেন,বালা
1404,ভালবাসো,বালা
1405,ভালবেসে,যাইমু
1406,ভালাে,বালা
1407,ভালো,ভালা
1408,ভালো / ভাল,ভালা
1409,ভালোই,ভালাউ
1410,ভালোবাসত,"ফাইতো, বালা"
1411,ভালোবাসতাম,ভালাপাইতাম
1412,ভালোবাসতে,ভালোবাসা
1413,ভালোবাসতো,পাইতো
1414,ভালোবাসব,ভালাপাইমু
1415,ভালোবাসবি?,ফাইবে নি?
1416,ভালোবাসবো,ভালোবাসমু
1417,ভালোবাসলে,ভালাপাইয়া
1418,ভালোবাসা,ভালোবাসা
1419,ভালোবাসাকে,ভালা
1420,ভালোবাসায়,ভালোবাসাত
1421,ভালোবাসার,ভালোবাসার
1422,ভালোবাসার,ভালাপাওয়া
1423,ভালোবাসি,ভালাপাই
1424,ভালোবাসি,ভালাপাই
1425,ভালোবাসিনি,ভালাপাইছলাম না
1426,ভালোবাসুন,ভালাফান
1427,ভালোবাসে,বালা পায়
1428,ভালোবাসেন?,বালা পাইন নি?
1429,ভালোবাসো,বালা
1430,"ভালোবাসো,তবে","ভালোবাসো,তাইলে"
1431,ভালোবেসে,"পাইলায়, পিরিত, ভালাপাইলাইছি, ভালোবাসিয়া"
1432,ভালোবেসেও,নাম্বার
1433,ভালোভাবে,ভালাভাবে
1434,ভালোর,খালি
1435,ভাষা,ভাষা
1436,ভাষায়,ভাষায়
1437,ভিটামিনের,ভিটামিনর
1438,ভিড়,ভিড়
1439,ভিডিও,ভিডিও
1440,ভিতরটা,ভিতরটা
1441,ভিতরে,ভিতরে
1442,ভুগেছিলেন,ভোগরা
1443,ভুল,ভুল
1444,ভুলতে,ভুলতাম
1445,ভুলবো,ভুলতাম
1446,ভুলবো না,ভুলতাম নায়
1447,ভুলে,না
1448,ভুলেও,ভুল
1449,ভেঙে,ভাঙিয়া
1450,ভেঙেছি,ভাঙছে৷
1451,ভেতরে,ভিতরে
1452,ভেবে,ভাবিয়া
1453,ভেবেই,ভাবিয়াউ
1454,ভেবেছিলেন,ভাবছিলা
1455,মঙ্গল,মঙ্গল
1456,মজা,মজা
1457,মজার,মজার
1458,মত,"তাইন, মত, মতো, মোরে, লাকান, লাখান"
1459,মতন,মতো
1460,মতো,লাখান
1461,মতোই,মতোউ
1462,মদ,মদ
1463,মদ্ধে,মাঝে
1464,মধ্যে,ওর
1465,মধ্যেই,"মাঝে, মাঝেউ"
1466,মধ্যেবিও,মধ্যবিত্ত
1467,মন,মন
1468,"মন,","মন,"
1469,মনটা,মনরে
1470,মনসিক,মানসিকভাবে
1471,মনে,মনে
1472,মনেও,মনউ
1473,মনের,"বুজইন, মনর, মাত, মানুষ"
1474,মনের কথা,মনর কথা
1475,মনোভাব,মনোভাব
1476,মনোযোগ,"মন, মনোযোগ"
1477,মনোরম,সুন্দর
1478,মরে,মরি
1479,মশার,মশার
1480,মহিলা,"দিয়া, বেটি, বেটিন, হউ"
1481,মহিলাকে,নাম্বার
1482,মহিলার,বেটির
1483,মা," আম্মা, আম্মা,, আম্মাত, আম্মায়, মা, মা'য়, মারে, মায়"
1484,মা / আম্মু,আম্মায়
1485,"মা,","আম্মা,"
1486,মাও,আম্মাও
1487,মাকে,আম্মারে
1488,মাছ,মাছ
1489,মাছগুলি,মাছ ওগুন
1490,মাছের,"মাছর, মাছোর"
1491,মাঝখানে,মাঝে
1492,মাঝে,মাঝে
1493,মাঝেমধ্যে,মধ্যে
1494,মাটিতেই,মাটিতেই
1495,মাটির,মাটির
1496,মাঠটা,মাঠ
1497,মাঠে,"মাঠ-ও, মাঠও, মাঠো, মাাঠো"
1498,মাত্র,মাত্র
1499,মাথা,মাথাত
1500,মাথা ঘুরিয়ে পরে গিয়েছিল,মাথা গুরাইয়া পরি গেছিল
1501,মাথায়,"কালে, মনো, যে"
1502,মাধ্যম,মাধ্যম
1503,মাধ্যমে,মাইধ্যমে
1504,মান,মান
1505,মানতে,"নিতাম, মানতাম"
1506,মানলাম,মানলাম
1507,মানলে,মানলে
1508,মানসিক,মানসিক
1509,মানাবে,মানাইবো
1510,মানায়,মানায়
1511,মানিয়েছে,লাগের
1512,মানুষ,মানুষ
1513,মানুষকে,মাইনষরে
1514,মানুষগুলো,মানুষ
1515,মানুষগুলোকে,মানুষরারে
1516,মানুষটা,মানুষগুতা
1517,মানুষটাই,মানুষটাউ
1518,মানুষটাকে,বুঝাটা
1519,মানুষটার,"পড়ি, মানুষটার"
1520,মানুষটি,ওর
1521,মানুষটিকে,মানুষটারে
1522,মানুষদের,মানুষর
1523,মানুষরা,মাইনশে
1524,মানুষের,মানুষর
1525,মানুষেরা,মানুষ
1526,মানুুষ,মানুষ
1527,মানে,মানে
1528,মানের,মান ওর 
1529,মাপজোখ,মাপাজোখ
1530,মাফ,মাফ
1531,মামলা,মামলা
1532,মামলার,মামলার
1533,মামা,মামা
1534,মামাতো,মামাত্তো
1535,মামারা,ওর
1536,মায়া,মায়া
1537,মায়ায়,মায়াত
1538,মায়ায়,মায়াত
1539,মায়ের,"ফালন, মার"
1540,মায়ের,"আম্মার, মা'র, মার"
1541,মার,"আম্মার, করে, মা'র, মানুষর, মার"
1542,মারত,পিটাইতো
1543,মারতে,মারতে
1544,মারবে,মারবো
1545,মারা,গেলো
1546,মারাত্মক,মারাত্মক
1547,মারার,মারার
1548,মারি,মারি
1549,মার্বেল,মার্বেল
1550,মালিশ,লাগি
1551,মাস,মাস
1552,মাংস,"গুস্ত, গোস্ত, মাংস"
1553,মাসে,"খতা, মাসও, মাসে, মাসো"
1554,মাসের,"মাসর, মোর"
1555,মােমবাতি,ছাড়া
1556,মিছিল,মিছিল
1557,মিথ্যা,"মিচা, মিছা"
1558,মিথ্যে,মাতে
1559,মিনু,মিনু
1560,মিরপুরে,মিরপুর-ও
1561,মিল,মিল
1562,মিলাতে,মিলাইতে
1563,মিলিয়ে,মিলাইয়া
1564,মিলে,মিলিয়া
1565,মিশতাম,মিশতাম
1566,মিষ্টি,"মজার, মিষ্টি, সুন্দর"
1567,মুকুল,মুকুল
1568,মুকুলে,মুকুল
1569,মুক্তি,মুক্তি
1570,মুক্তিযুদ্ধের,মুক্তিযুদ্ধর
1571,মুক্তিযোদ্ধা,মুক্তিযুদ্ধা
1572,মুখ,"দেখানির, মুখ"
1573,মুখে,"মানুষটারে, মুক, মুকুত, মুখে"
1574,মুখেই,মুখেউ
1575,মুখের,মুখর
1576,মুগ্ধ,মুগ্ধ
1577,মুগ্ধতায়,মুগ্ধতাত
1578,মুছে,"মুছাইয়া, মুছি"
1579,মুড়ি,মুরি
1580,মুরগি,মুরগি
1581,মুরগির,"মুরগর, মুরুগির, মোরগ"
1582,মুরগী,মুরগি
1583,মুশকিল,মুশকিল
1584,মূল্যবান,"দামী, মূল্যবান"
1585,মূল্যহীন,মূল্যহীন
1586,মৃত্যু,তেও
1587,মৃত্যুকে,মরণরে
1588,মে,যেন
1589,মেকআপ,মেকআপ
1590,মেকআপই,মেকআপ
1591,মেঘনা,মেঘনা
1592,মেঘের,মেঘ ওর
1593,মেটানোর,মিটানির
1594,মেঠো,মাঠ
1595,মেধাবী,খুব
1596,মেনে,"তুমিতাইন, মানি, মানিয়া"
1597,মেয়ে,ফুড়ি
1598,মেয়ে,রাগ
1599,মেয়েও,সমস্যাটা
1600,মেয়েকে,ফুড়িরে
1601,মেয়েটা,তাই
1602,মেয়েটাকে,ফুড়িটারে
1603,মেয়েটার,কিতার
1604,মেয়েটি,ফুড়িটায়
1605,মেয়েটিকে,"গেছিল, থাকে, ফুড়িরে"
1606,মেয়েটির,ফুড়ি
1607,মেয়েদের,"ঘরও, ফুড়িন্তর"
1608,মেয়েদের,"করা, ফুরিন্তোর, ফুড়িন্তর"
1609,মেয়ের,পুরির
1610,মেয়ের,"খরতো, দেয়, ফুুড়ির, ফুড়ির, মাতে, মোরে, যায়, রাজি"
1611,মেয়েরা,ফুড়িন্তে
1612,মেয়েরা,"করতে, তারা, ফুরিন, বালা"
1613,মেয়েরাই,ফুড়িন্তেউ
1614,মেরে,"খোঁচা, মারিয়া"
1615,মেললেই,মেললেউ
1616,মেলা,রঙিন
1617,মেলাতে,মিলাইতে
1618,মেসি,খেলোয়াড়
1619,মেসিকে,মেসিরে
1620,মেহমান,মেমান
1621,মোকাবেলা,মোকাবিলা
1622,মোটা,মুটা
1623,মোবাইল,মোবাইল
1624,মোরগের,মুরগর
1625,মোহনবাগানের,মোহনবাগান ওর
1626,মৌসুমি,মৌসুমী
1627,মৌসুমিকে,মৌসুমীরে
1628,মৌসুমী,"মৌসুমী, মৌসুুমী"
1629,মৌসুমে,মৌসুমো
1630,ম্যাক্সিমাম,ম্যাক্সিমাম
1631,ম্যাচ,ম্যাচ
1632,ম্যাচগুলি,ম্যাচ ওকল
1633,ম্যাচে,ম্যাচও
1634,যখন,যেব্‌লাকু
1635,যখনই,যখন
1636,যত,"যত, যতউ"
1637,যতদিন,যতদিন
1638,যতবার,"গানটা, যতবার"
1639,যতো,যতো
1640,যতোটা,জতটা
1641,যত্ন,যত্ন
1642,যত্নশীল,যত্ন
1643,যথেষ্ট,যথেষ্ট
1644,যদি,যদি
1645,যদিও,যদিও
1646,যা,যা
1647,যাই,যাই
1648,যাই?,যাই
1649,যাইত,যাইতা
1650,যাইতে,"যাইতো, যাওয়া"
1651,যাইতো,যাইতো
1652,যাইনি,না
1653,যাইহোক,যাই
1654,যাও,"ওউ, যাইও"
1655,যাওয়া,যাওয়া
1656,যাওয়া,যাওয়া
1657,যাওয়ার,যাওয়ার
1658,যাওয়ার,"এখলা, তার, পর, যাওয়ার"
